local_path	relative_path	file_name	extension	size_bytes	category
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	.xlsx	2203797	excel_official_candidate
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\007-Wing Tel Invoice_11112025.pdf	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\007-Wing Tel Invoice_11112025.pdf	007-Wing Tel Invoice_11112025.pdf	.pdf	93098	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\~$给Wing的付款说明2022-7-9.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\~$给Wing的付款说明2022-7-9.xlsx	~$给Wing的付款说明2022-7-9.xlsx	.xlsx	165	excel_temp_lock_invalid
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD772,765.00\006-Wing - 10.1-10.31 Data Invoice (1).pdf	2025年11月\WingAlpha-2025年11月付；USD772,765.00\006-Wing - 10.1-10.31 Data Invoice (1).pdf	006-Wing - 10.1-10.31 Data Invoice (1).pdf	.pdf	93103	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	.xlsx	746981	excel_official_candidate
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD772,765.00\~$给Wing的付款说明2022-7-9.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\~$给Wing的付款说明2022-7-9.xlsx	~$给Wing的付款说明2022-7-9.xlsx	.xlsx	165	excel_temp_lock_invalid
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	.xlsx	773509	excel_official_candidate
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	.xlsx	60875	excel_official_candidate
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\08-Wing Invoice_7985045.pdf	2025年12月\WingAlpha-2025年12月付；USD773,380.39\08-Wing Invoice_7985045.pdf	08-Wing Invoice_7985045.pdf	.pdf	93193	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\~$给Wing的付款说明2022-7-9.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\~$给Wing的付款说明2022-7-9.xlsx	~$给Wing的付款说明2022-7-9.xlsx	.xlsx	165	excel_temp_lock_invalid
