local_excel_file	local_relative_path	local_file_name	platform_source_table	platform_source_file	invoice_batch_label	observed_start_month	local_observed_start_month_range	observed_cycle_start_month	observed_cycle_end_month	local_sheet_name	local_sheet_rows	platform_record_count	row_count_diff	platform_imsi_count	local_key_columns	local_amount_fields	amount_semantics	local_primary_amount	platform_primary_amount	primary_amount_diff_local_minus_platform	local_aux_amount	platform_aux_amount	aux_amount_diff_local_minus_platform	amount_status	local_min_observed_start_or_cycle_start	local_max_observed_start_or_cycle_start	platform_min_start_or_cycle_start	platform_max_start_or_cycle_start	date_status	local_schema_status	identity_status
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	2025-09			Invoice Details - SEP 2025	25237	25237	0	14793	"[""imsi"", ""iccid"", ""# of Active Days"", ""Usage Days"", ""Usage Days > Active Days""]"	"[""Price"", ""Final Charge""]"	detail.final_charge	1139393.5247291140	1139393.52472910	0.0000000140	1544554.0000000000	1544554.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2025-09-01	2025-09-30	2025-09-01	2025-09-30	MATCH_DATE_RANGE	CONFLICT_MISSING_LOCAL_CHARGE_TYPE	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	2025-11			Detail Charges	12663	12663	0	12641	"[""IMSI"", ""Product Name"", ""Charge Type"", ""# of Active Days"", ""Usage Days""]"	"[""Monthly Rate"", ""Final Charge""]"	detail.final_charge	773737.8387096773	773737.83870966	0.0000000173	774276.0000000000	774276.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2025-11-01	2025-11-30	2025-11-01	2025-11-30	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-10	2025-10			Prorated-In OCT - Pending Charg	5	5	0	5	"[""IMSI"", ""Product Name"", ""# of Active Days"", ""Usage Days"", ""Final Charge For Usage Days""]"	"[""Monthly Rate"", ""Final Charge For Usage Days"", ""Pending Charge""]"	prorated.final_charge_for_usage_days	294.0000000000	294.00000000	0.0000000000	56.0000000000	56.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2025-10-24	2025-10-24	2025-10-24	2025-10-24	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10	2025-10			Detail Charges	12714	12714	0	12712	"[""IMSI"", ""Product Name"", ""Charge Type"", ""# of Active Days"", ""# of Usage Days""]"	"[""Monthly Rate"", ""Final Charge""]"	detail.final_charge	772285.5333333334	772285.53333334	-0.0000000065	778198.0000000000	778198.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2025-10-01	2025-10-30	2025-10-01	2025-10-30	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-09	2025-09			Prorated-In SEP - Pending Charg	36	36	0	36	"[""imsi"", ""iccid"", ""# of Active Days"", ""Usage Days"", ""Final Charge For Usage Days""]"	"[""Price"", ""Final Charge For Usage Days"", ""Pending Charge""]"	prorated.final_charge_for_usage_days	1521.0666666667	1521.06666670	-0.0000000333	479.4666678667	479.4666679	-0.0000000333	MATCH_WITH_FLOATING_TOLERANCE	2025-09-20	2025-09-20	2025-09-20	2025-09-20	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	2026-04			Detail Charges	7780	7780	0	7317	"[""IMSI"", ""Product Name"", ""Charge Type"", ""# of Active Days"", ""Usage Days""]"	"[""Monthly Rate"", ""Final Charge""]"	detail.final_charge	372289.3075268814	372289.30752659	0.0000002914	398011.0000000000	398011.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2026-04-01	2026-04-30	2026-04-01	2026-04-30	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03	2026-03			Prorated-In MAR - Pending Charg	284	284	0	284	"[""IMSI"", ""Product Name"", ""# of Active Days"", ""Usage Days"", ""Final Charge For Usage Days""]"	"[""Monthly Rate"", ""Final Charge For Usage Days"", ""Pending Charge""]"	prorated.final_charge_for_usage_days	9827.3870967742	9827.38709685	-0.0000000758	2191.0670967742	2191.06709685	-0.0000000758	MATCH_WITH_FLOATING_TOLERANCE	2026-03-23	2026-03-28	2026-03-23	2026-03-28	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	2026-02			Detail Charges	12572	12572	0	12309	"[""IMSI"", ""Product Name"", ""Charge Type"", ""# of Active Days"", ""Usage Days""]"	"[""Monthly Rate"", ""Final Charge""]"	detail.final_charge	690572.7235023025	690572.72350272	-0.0000004175	712418.0000000000	712418.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2026-02-01	2026-02-28	2026-02-01	2026-02-28	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-01	2026-01			Prorated-In JAN - Pending Charg	359	359	0	359	"[""IMSI"", ""Product Name"", ""# of Active Days"", ""Usage Days"", ""Final Charge For Usage Days""]"	"[""Monthly Rate"", ""Final Charge For Usage Days"", ""Pending Charge""]"	prorated.final_charge_for_usage_days	14688.0967741936	14688.09677421	-0.0000000164	3342.4838709678	3342.4838717	-0.0000007322	MATCH_WITH_FLOATING_TOLERANCE	2026-01-23	2026-01-31	2026-01-23	2026-01-31	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
C:\Users\EDY\Desktop\WA账单20260914\2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2025-01	2026-01,2026-02	2026-01,2026-02			Detail Charges	13661	13661	0	13253	"[""IMSI"", ""Product Name"", ""Charge Type"", ""# of Active Days"", ""Usage Days""]"	"[""Monthly Rate"", ""Final Charge""]"	detail.final_charge	703606.2903225648	703606.29032165	0.0000009148	778622.0000000000	778622.0	0.0000000000	MATCH_WITH_FLOATING_TOLERANCE	2026-01-01	2026-02-01	2026-01-01	2026-02-01	MATCH_DATE_RANGE	OK	MATCHED_NORMALIZED_FILENAME
