local_excel_file	relative_path	local_file_name	read_status	sheet_name	header_row	data_rows_after_header	nonempty_data_rows	key_columns	headers	amount_fields	amount_stats	date_stats
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	OK	Invoice Summary	5	17	15	[]	"["""", """", ""Description"", ""# of Unique Cards"", ""Avg. # of Days per Card"", ""Total Charge"", """", """"]"	"[""Total Charge""]"	"{""Total Charge"": {""count_numeric"": 13, ""sum"": 3418180.574187298, ""min"": 0.0, ""max"": 1139393.524729099}}"	{}
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	OK	Invoice Details - SEP 2025	1	25249	25237	"[""imsi"", ""iccid"", ""# of Active Days"", ""Usage Days"", ""Usage Days > Active Days""]"	"[""imsi"", ""iccid"", ""cycle_time"", ""cycle_end_time"", ""Final Cycle Usage (GB)"", ""Plan Name"", ""Data Allowance"", ""Price"", ""Final Start Date"", ""Final End Date"", ""# of Active Days"", ""Usage Days"", ""Usage Days > Active Days"", ""Final # of Days"", ""Final Charge"", ""Comment for Summary""]"	"[""Price"", ""Final Charge""]"	"{""Price"": {""count_numeric"": 25237, ""sum"": 1544554.0, ""min"": 43.0, ""max"": 62.0}, ""Final Charge"": {""count_numeric"": 25237, ""sum"": 1139393.524729114, ""min"": 2.0, ""max"": 62.0}}"	"{""Final Start Date"": {""count_date"": 25237, ""min"": ""2025-09-01"", ""max"": ""2025-09-30""}, ""Final End Date"": {""count_date"": 25237, ""min"": ""2025-09-01"", ""max"": ""2025-10-29""}}"
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	OK	Charges Summary	5	22	19	[]	"["""", """", ""Description"", ""# of Unique Cards"", ""Avg. # of Days per Card"", ""Total Charge"", """", """"]"	"[""Total Charge""]"	"{""Total Charge"": {""count_numeric"": 17, ""sum"": 3091060.0000018, ""min"": -465.0, ""max"": 772765.0}}"	{}
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	OK	Detail Charges	1	12714	12714	"[""IMSI"", ""Product Name"", ""Charge Type"", ""# of Active Days"", ""# of Usage Days""]"	"[""IMSI"", ""Product Name"", ""Cycle Start Date"", ""Cycle End Date"", ""Cycle Usage (GB)"", ""Data Allowance (GB)"", ""New Activation Date"", ""Offstocked Date"", ""Charge Type"", ""Charge Start Date"", ""Charge End Date"", ""# of Active Days"", ""# of Usage Days"", ""Final # of Days for Proration"", ""Monthly Rate"", ""Final Charge""]"	"[""Monthly Rate"", ""Final Charge""]"	"{""Monthly Rate"": {""count_numeric"": 12714, ""sum"": 778198.0, ""min"": 43.0, ""max"": 62.0}, ""Final Charge"": {""count_numeric"": 12714, ""sum"": 772285.5333333334, ""min"": -41.33333333333333, ""max"": 62.0}}"	"{""Cycle Start Date"": {""count_date"": 12714, ""min"": ""2025-09-10"", ""max"": ""2025-10-30""}, ""Cycle End Date"": {""count_date"": 12714, ""min"": ""2025-10-09"", ""max"": ""2025-11-29""}, ""New Activation Date"": {""count_date"": 74, ""min"": ""2025-10-06"", ""max"": ""2025-10-30""}, ""Charge Start Date"": {""count_date"": 12677, ""min"": ""2025-10-01"", ""max"": ""2025-10-30""}, ""Charge End Date"": {""count_date"": 12677, ""min"": ""2025-10-08"", ""max"": ""2025-11-29""}}"
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	OK	Prorated-In SEP - Pending Charg	1	36	36	"[""imsi"", ""iccid"", ""# of Active Days"", ""Usage Days"", ""Final Charge For Usage Days""]"	"[""imsi"", ""iccid"", ""cycle_time"", ""cycle_end_time"", ""Plan Name"", ""Price"", ""New Activation"", ""Charge Start Date"", ""Charge End Date"", ""# of Active Days"", ""Original Charge in SEP Invoice"", ""Cycle Usage (GB)"", ""Usage Days"", ""Final Charge For Usage Days"", ""Pending Charge""]"	"[""Price"", ""Final Charge For Usage Days"", ""Pending Charge""]"	"{""Price"": {""count_numeric"": 36, ""sum"": 2232.0, ""min"": 62.0, ""max"": 62.0}, ""Final Charge For Usage Days"": {""count_numeric"": 36, ""sum"": 1521.0666666666666, ""min"": 31.0, ""max"": 64.06666666666668}, ""Pending Charge"": {""count_numeric"": 36, ""sum"": 479.46666786666657, ""min"": 2.066666699999999, ""max"": 35.133333366666676}}"	"{""Charge Start Date"": {""count_date"": 36, ""min"": ""2025-09-20"", ""max"": ""2025-09-20""}, ""Charge End Date"": {""count_date"": 36, ""min"": ""2025-10-03"", ""max"": ""2025-10-03""}}"
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	OK	Charges Summary	5	16	13	[]	"["""", """", ""Description"", ""# of Unique Cards"", ""Avg. # of Days per Card"", ""Total Charge"", """", """"]"	"[""Total Charge""]"	"{""Total Charge"": {""count_numeric"": 11, ""sum"": 3095175.3548194002, ""min"": 0.0, ""max"": 773793.8387}}"	{}
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	OK	Detail Charges	1	12663	12663	"[""IMSI"", ""Product Name"", ""Charge Type"", ""# of Active Days"", ""Usage Days""]"	"[""IMSI"", ""Product Name"", ""Cycle Start Date"", ""Cycle End Date"", ""Cycle Usage (GB)"", ""Data Allowance (GB)"", ""% Used"", ""New Activation Date"", ""Offstock Date"", ""Charge Type"", ""Final Start Date"", ""Final End Date"", ""# of Active Days"", ""Usage Days"", ""Final # of Days for Proration"", ""Monthly Rate"", ""Final Charge""]"	"[""Monthly Rate"", ""Final Charge""]"	"{""Monthly Rate"": {""count_numeric"": 12663, ""sum"": 774276.0, ""min"": 43.0, ""max"": 62.0}, ""Final Charge"": {""count_numeric"": 12663, ""sum"": 773737.8387096773, ""min"": 9.709677419354838, ""max"": 62.0}}"	"{""Cycle Start Date"": {""count_date"": 12663, ""min"": ""2025-10-10"", ""max"": ""2025-11-30""}, ""Cycle End Date"": {""count_date"": 12663, ""min"": ""2025-11-09"", ""max"": ""2025-12-29""}, ""New Activation Date"": {""count_date"": 47, ""min"": ""2025-11-05"", ""max"": ""2025-11-05""}, ""Offstock Date"": {""count_date"": 0, ""min"": null, ""max"": null}, ""Final Start Date"": {""count_date"": 12663, ""min"": ""2025-11-01"", ""max"": ""2025-11-30""}, ""Final End Date"": {""count_date"": 12663, ""min"": ""2025-11-09"", ""max"": ""2025-12-29""}}"
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	OK	Prorated-In OCT - Pending Charg	1	5	5	"[""IMSI"", ""Product Name"", ""# of Active Days"", ""Usage Days"", ""Final Charge For Usage Days""]"	"[""IMSI"", ""Product Name"", ""Cycle Start Date"", ""Cycle End Date"", ""Data Allowance (GB)"", ""New Activation Date"", ""Final Start Date"", ""Final End Date"", ""# of Active Days"", ""Monthly Rate"", ""Original Charge in OCT Invoice"", ""Cycle Usage (GB)"", ""Usage Days"", ""Final Charge For Usage Days"", ""Pending Charge""]"	"[""Monthly Rate"", ""Final Charge For Usage Days"", ""Pending Charge""]"	"{""Monthly Rate"": {""count_numeric"": 5, ""sum"": 310.0, ""min"": 62.0, ""max"": 62.0}, ""Final Charge For Usage Days"": {""count_numeric"": 5, ""sum"": 294.0, ""min"": 54.0, ""max"": 62.0}, ""Pending Charge"": {""count_numeric"": 5, ""sum"": 56.0, ""min"": 8.0, ""max"": 16.0}}"	"{""Cycle Start Date"": {""count_date"": 5, ""min"": ""2025-10-16"", ""max"": ""2025-10-16""}, ""Cycle End Date"": {""count_date"": 5, ""min"": ""2025-11-15"", ""max"": ""2025-11-15""}, ""New Activation Date"": {""count_date"": 5, ""min"": ""2025-10-24"", ""max"": ""2025-10-24""}, ""Final Start Date"": {""count_date"": 5, ""min"": ""2025-10-24"", ""max"": ""2025-10-24""}, ""Final End Date"": {""count_date"": 5, ""min"": ""2025-11-15"", ""max"": ""2025-11-15""}}"
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	OK	Sheet1	1	393	393	"[""imsi"", ""did we charge for this imsi?"", ""ICCID"", ""prod"", ""if replaced whats new imsi"", ""Did we charge for this imsi?""]"	"[""imsi"", ""did we charge for this imsi?"", ""ICCID"", ""prod"", ""cycle start"", ""cycle end"", ""price"", ""final price"", ""was this line replaced"", ""if replaced whats new imsi"", ""replacement product"", ""Did we charge for this imsi?"", ""date line went down"", ""date replacement was activated"", ""Days without Service?"", ""Correct Price"", ""New Purchase Due to Max Optimization Request"", ""Credit Owed"", """", """", """", """", """", """"]"	"[""price"", ""final price"", ""Correct Price"", ""Credit Owed""]"	"{""price"": {""count_numeric"": 393, ""sum"": 24366.0, ""min"": 62.0, ""max"": 62.0}, ""final price"": {""count_numeric"": 393, ""sum"": 24366.0, ""min"": 62.0, ""max"": 62.0}, ""Correct Price"": {""count_numeric"": 393, ""sum"": 23780.54999999999, ""min"": 20.67, ""max"": 62.0}, ""Credit Owed"": {""count_numeric"": 393, ""sum"": 585.4499999999997, ""min"": 0.0, ""max"": 41.33}}"	"{""cycle start"": {""count_date"": 393, ""min"": ""2025-11-01"", ""max"": ""2025-11-27""}, ""cycle end"": {""count_date"": 393, ""min"": ""2025-11-30"", ""max"": ""2025-12-26""}, ""date line went down"": {""count_date"": 368, ""min"": ""2025-11-07"", ""max"": ""2025-11-18""}, ""date replacement was activated"": {""count_date"": 383, ""min"": ""2025-10-30"", ""max"": ""2025-11-30""}}"
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	OK	Sheet2	1	401	393	[]	[]	[]	{}	{}
