source_table	control_scope	source_file	invoice_batch_label	observed_start_month	imsi	charge_type	excel_days	excel_price	excel_amount	amount_semantics	pending_charge	original_charge	control_row_count	min_final_start_date	max_final_start_date	min_final_end_date	max_final_end_date	cycle_start_date	cycle_end_date	source_record_count	source_imsi_count	source_excel_amount	source_pending_charge	source_monthly_rate_sum	source_product_count	observed_record_count	observed_imsi_count	observed_excel_amount	observed_pending_charge	observed_monthly_rate_sum
wa_invoice_prorated	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03	083901144064119730		31.00000000	62.00000000	62.00000000	prorated.final_charge_for_usage_days	6.00000000	56.00000000	1	2026-03-24	2026-03-24	2026-04-03	2026-04-03	2026-03-04 00:00:00	2026-04-03 00:00:00	284	284	9827.38709685	2191.06709685	15442.00000000	6	284	284	9827.38709685	2191.06709685	15442.00000000
wa_invoice_prorated	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03	083901144064217873		15.00000000	62.00000000	30.00000000	prorated.final_charge_for_usage_days	8.00000000	22.00000000	1	2026-03-24	2026-03-24	2026-04-03	2026-04-03	2026-03-04 00:00:00	2026-04-03 00:00:00	284	284	9827.38709685	2191.06709685	15442.00000000	6	284	284	9827.38709685	2191.06709685	15442.00000000
wa_invoice_prorated	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03	083901144064219001		12.00000000	62.00000000	24.00000000	prorated.final_charge_for_usage_days	2.00000000	22.00000000	1	2026-03-24	2026-03-24	2026-04-03	2026-04-03	2026-03-04 00:00:00	2026-04-03 00:00:00	284	284	9827.38709685	2191.06709685	15442.00000000	6	284	284	9827.38709685	2191.06709685	15442.00000000
wa_invoice_prorated	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03	083901144064316038		16.00000000	62.00000000	32.00000000	prorated.final_charge_for_usage_days	2.00000000	30.00000000	1	2026-03-24	2026-03-24	2026-04-03	2026-04-03	2026-03-04 00:00:00	2026-04-03 00:00:00	284	284	9827.38709685	2191.06709685	15442.00000000	6	284	284	9827.38709685	2191.06709685	15442.00000000
wa_invoice_prorated	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03	083901144064319930		18.00000000	62.00000000	36.00000000	prorated.final_charge_for_usage_days	8.00000000	28.00000000	1	2026-03-24	2026-03-24	2026-04-03	2026-04-03	2026-03-04 00:00:00	2026-04-03 00:00:00	284	284	9827.38709685	2191.06709685	15442.00000000	6	284	284	9827.38709685	2191.06709685	15442.00000000
wa_invoice_prorated	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03	083901144064418188		31.00000000	62.00000000	62.00000000	prorated.final_charge_for_usage_days	40.00000000	22.00000000	1	2026-03-24	2026-03-24	2026-04-03	2026-04-03	2026-03-04 00:00:00	2026-04-03 00:00:00	284	284	9827.38709685	2191.06709685	15442.00000000	6	284	284	9827.38709685	2191.06709685	15442.00000000
wa_invoice_prorated	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03	083901144064518242		16.00000000	62.00000000	32.00000000	prorated.final_charge_for_usage_days	10.00000000	22.00000000	1	2026-03-24	2026-03-24	2026-04-03	2026-04-03	2026-03-04 00:00:00	2026-04-03 00:00:00	284	284	9827.38709685	2191.06709685	15442.00000000	6	284	284	9827.38709685	2191.06709685	15442.00000000
wa_invoice_prorated	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03	083901144065210686		20.00000000	62.00000000	40.00000000	prorated.final_charge_for_usage_days	18.00000000	22.00000000	1	2026-03-24	2026-03-24	2026-04-03	2026-04-03	2026-03-04 00:00:00	2026-04-03 00:00:00	284	284	9827.38709685	2191.06709685	15442.00000000	6	284	284	9827.38709685	2191.06709685	15442.00000000
wa_invoice_prorated	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03	083901144065210973		31.00000000	62.00000000	62.00000000	prorated.final_charge_for_usage_days	12.00000000	50.00000000	1	2026-03-24	2026-03-24	2026-04-03	2026-04-03	2026-03-04 00:00:00	2026-04-03 00:00:00	284	284	9827.38709685	2191.06709685	15442.00000000	6	284	284	9827.38709685	2191.06709685	15442.00000000
wa_invoice_prorated	C_TARGET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03	083901144065211603		17.00000000	62.00000000	34.00000000	prorated.final_charge_for_usage_days	8.00000000	26.00000000	1	2026-03-24	2026-03-24	2026-04-03	2026-04-03	2026-03-04 00:00:00	2026-04-03 00:00:00	284	284	9827.38709685	2191.06709685	15442.00000000	6	284	284	9827.38709685	2191.06709685	15442.00000000
