source_file	imsi	iccid	product_name	cycle_start	cycle_end	final_start	final_end	final_days	monthly_rate	detail_amount	charge_type	status	new_card_imsi_replacement	old_card_imsi_replaced	rows_on_cycle_key	final_window_variants	row_on_duplicate_key	retention_decision
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901144035616472		ATT 50GB Plan AT (WA)	2026-01-05	2026-02-04	2026-01-05	2026-01-13	9.0000000000	32.0000000000	9.2903225806	Partial Charge - Product Transfer Mid Cycle				2	2	1	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901144035616472		ATT 100GB Plan EC (WA)	2026-01-05	2026-02-04	2026-01-14	2026-02-04	22.0000000000	43.0000000000	30.5161290323	Partial Charge - Product Transfer Mid Cycle				2	2	2	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060070015		ATT 300GB Plan DF ET (43) (WA)	2026-01-23	2026-02-22	2026-01-23	2026-01-31	14.0000000000	62.0000000000	28.0000000000	Partial Charge - Product Transfer Mid Cycle				2	2	1	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060070015		ATT 125GB Plan DF ET (43) (WA)	2026-01-23	2026-02-22	2026-02-01	2026-02-22	22.0000000000	43.0000000000	30.5161290323	Partial Charge - Product Transfer Mid Cycle				2	2	2	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060074992		ATT 300GB Plan DF ET (43) (WA)	2026-01-26	2026-02-25	2026-01-26	2026-01-31	6.0000000000	62.0000000000	12.0000000000	Partial Charge - Product Transfer Mid Cycle				2	2	1	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060074992		ATT 125GB Plan DF ET (43) (WA)	2026-01-26	2026-02-25	2026-02-01	2026-02-25	25.0000000000	43.0000000000	34.6774193548	Partial Charge - Product Transfer Mid Cycle				2	2	2	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060080836		ATT 300GB Plan DF ET (43) (WA)	2026-01-20	2026-02-19	2026-01-20	2026-01-31	15.0000000000	62.0000000000	30.0000000000	Partial Charge - Product Transfer Mid Cycle				2	2	1	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060080836		ATT 125GB Plan DF ET (43) (WA)	2026-01-20	2026-02-19	2026-02-01	2026-02-19	19.0000000000	43.0000000000	26.3548387097	Partial Charge - Product Transfer Mid Cycle				2	2	2	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060083965		ATT 300GB Plan DF ET (43) (WA)	2026-01-20	2026-02-19	2026-01-20	2026-01-31	19.0000000000	62.0000000000	38.0000000000	Partial Charge - Product Transfer Mid Cycle				2	2	1	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060083965		ATT 125GB Plan DF ET (43) (WA)	2026-01-20	2026-02-19	2026-02-01	2026-02-19	19.0000000000	43.0000000000	26.3548387097	Partial Charge - Product Transfer Mid Cycle				2	2	2	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
