sample_no	source_file	imsi	detail_iccid	prorated_iccid	detail_product_name	prorated_product_name	detail_cycle_start	prorated_cycle_start	detail_cycle_end	prorated_cycle_end	detail_final_start	prorated_final_start	detail_final_end	prorated_final_end	detail_amount	prorated_final_charge_for_usage_days	pending_charge	detail_charge_type	common_fields_exact_match	cycle_exact_match	full_key_exact_match	overlap_interpretation
1	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	083901144055160839			ATT 300GB Plan DI JL (WA)	ATT 300GB Plan DI JL (WA)	2025-11-16	2025-10-16	2025-12-15	2025-11-15	2025-11-16	2025-10-24	2025-12-15	2025-11-15	62.0000000000	62.0000000000	16.0000000000	Full Cycle Charge	0	0	0	SAME_IMSI_DIFFERENT_RECORD
2	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	083901144055264931			ATT 300GB Plan DI JL (WA)	ATT 300GB Plan DI JL (WA)	2025-11-16	2025-10-16	2025-12-15	2025-11-15	2025-11-16	2025-10-24	2025-12-15	2025-11-15	62.0000000000	54.0000000000	8.0000000000	Full Cycle Charge	0	0	0	SAME_IMSI_DIFFERENT_RECORD
3	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	083901144055269476			ATT 300GB Plan DI JL (WA)	ATT 300GB Plan DI JL (WA)	2025-11-16	2025-10-16	2025-12-15	2025-11-15	2025-11-16	2025-10-24	2025-12-15	2025-11-15	62.0000000000	54.0000000000	8.0000000000	Full Cycle Charge	0	0	0	SAME_IMSI_DIFFERENT_RECORD
4	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	083901144055858410			ATT 300GB Plan DI JL (WA)	ATT 300GB Plan DI JL (WA)	2025-11-16	2025-10-16	2025-12-15	2025-11-15	2025-11-16	2025-10-24	2025-12-15	2025-11-15	62.0000000000	62.0000000000	16.0000000000	Full Cycle Charge	0	0	0	SAME_IMSI_DIFFERENT_RECORD
5	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	083901144055958464			ATT 300GB Plan DI JL (WA)	ATT 300GB Plan DI JL (WA)	2025-11-16	2025-10-16	2025-12-15	2025-11-15	2025-11-16	2025-10-24	2025-12-15	2025-11-15	62.0000000000	62.0000000000	8.0000000000	Full Cycle Charge	0	0	0	SAME_IMSI_DIFFERENT_RECORD
6	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	083901144064112704		89014103334461298998	AT&T 300GB Plan ATM RT (WA)	600111087|AT&T 300GB Plan ATM RT (WA)	2025-10-03	2025-09-03	2025-11-02	2025-10-03	2025-10-03	2025-09-20	2025-11-02	2025-10-03	62.0000000000	53.7333333333	24.8000000333	Full Cycle Charge	0	0	0	SAME_IMSI_DIFFERENT_RECORD
7	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	083901144064116846		89014103334461298972	AT&T 300GB Plan ATM RT (WA)	600111087|AT&T 300GB Plan ATM RT (WA)	2025-10-03	2025-09-03	2025-11-02	2025-10-03	2025-10-03	2025-09-20	2025-11-02	2025-10-03	62.0000000000	39.2666666667	10.3333333667	Full Cycle Charge	0	0	0	SAME_IMSI_DIFFERENT_RECORD
8	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	083901144064213896		89014103334461298378	AT&T 300GB Plan ATM RT (WA)	600111087|AT&T 300GB Plan ATM RT (WA)	2025-10-03	2025-09-03	2025-11-02	2025-10-03	2025-10-03	2025-09-20	2025-11-02	2025-10-03	62.0000000000	31.0000000000	2.0666667000	Full Cycle Charge	0	0	0	SAME_IMSI_DIFFERENT_RECORD
9	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	083901144064314919		89014103334461297883	AT&T 300GB Plan ATM RT (WA)	600111087|AT&T 300GB Plan ATM RT (WA)	2025-10-03	2025-09-03	2025-11-02	2025-10-03	2025-10-03	2025-09-20	2025-11-02	2025-10-03	62.0000000000	39.2666666667	10.3333333667	Full Cycle Charge	0	0	0	SAME_IMSI_DIFFERENT_RECORD
10	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	083901144064318369		89014103334461297735	AT&T 300GB Plan ATM RT (WA)	600111087|AT&T 300GB Plan ATM RT (WA)	2025-10-03	2025-09-03	2025-11-02	2025-10-03	2025-10-03	2025-09-20	2025-11-02	2025-10-03	62.0000000000	39.2666666667	10.3333333667	Full Cycle Charge	0	0	0	SAME_IMSI_DIFFERENT_RECORD
11	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	083901144064410233		89014103334461297727	AT&T 300GB Plan ATM RT (WA)	600111087|AT&T 300GB Plan ATM RT (WA)	2025-10-03	2025-09-03	2025-11-02	2025-10-03	2025-10-03	2025-09-20	2025-11-02	2025-10-03	62.0000000000	39.2666666667	10.3333333667	Full Cycle Charge	0	0	0	SAME_IMSI_DIFFERENT_RECORD
12	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	083901144064414703		89014103334461298659	AT&T 300GB Plan ATM RT (WA)	600111087|AT&T 300GB Plan ATM RT (WA)	2025-10-03	2025-09-03	2025-11-02	2025-10-03	2025-10-03	2025-09-20	2025-11-02	2025-10-03	62.0000000000	33.0666666667	4.1333333667	Full Cycle Charge	0	0	0	SAME_IMSI_DIFFERENT_RECORD
13	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	083901144064417941		89014103334461297818	AT&T 300GB Plan ATM RT (WA)	600111087|AT&T 300GB Plan ATM RT (WA)	2025-10-03	2025-09-03	2025-11-02	2025-10-03	2025-10-03	2025-09-20	2025-11-02	2025-10-03	62.0000000000	31.0000000000	2.0666667000	Full Cycle Charge	0	0	0	SAME_IMSI_DIFFERENT_RECORD
