table_name	ordinal_position	column_name	data_type
wa_invoice_detail	0	imsi	STRING
wa_invoice_detail	1	iccid	STRING
wa_invoice_detail	2	product_name	STRING
wa_invoice_detail	3	cycle_start_date	STRING
wa_invoice_detail	4	cycle_end_date	STRING
wa_invoice_detail	5	cycle_usage_gb	STRING
wa_invoice_detail	6	data_allowance_gb	STRING
wa_invoice_detail	7	pct_used	STRING
wa_invoice_detail	8	new_activation_date	STRING
wa_invoice_detail	9	offstock_date	STRING
wa_invoice_detail	10	charge_type	STRING
wa_invoice_detail	11	status	STRING
wa_invoice_detail	12	new_card_imsi_replacement	STRING
wa_invoice_detail	13	old_card_imsi_replaced	STRING
wa_invoice_detail	14	final_start_date	STRING
wa_invoice_detail	15	final_end_date	STRING
wa_invoice_detail	16	active_days	STRING
wa_invoice_detail	17	usage_days	STRING
wa_invoice_detail	18	usage_days_alt	STRING
wa_invoice_detail	19	usage_days_gt_active	STRING
wa_invoice_detail	20	final_days	STRING
wa_invoice_detail	21	monthly_rate	STRING
wa_invoice_detail	22	final_charge	STRING
wa_invoice_detail	23	transferred_to_wing_simbank	STRING
wa_invoice_detail	24	note	STRING
wa_invoice_detail	25	source_file	STRING
wa_invoice_detail	26	sheet_name	STRING
wa_invoice_prorated	0	imsi	STRING
wa_invoice_prorated	1	iccid	STRING
wa_invoice_prorated	2	product_name	STRING
wa_invoice_prorated	3	cycle_start_date	STRING
wa_invoice_prorated	4	cycle_end_date	STRING
wa_invoice_prorated	5	data_allowance_gb	STRING
wa_invoice_prorated	6	new_activation_date	STRING
wa_invoice_prorated	7	final_start_date	STRING
wa_invoice_prorated	8	final_end_date	STRING
wa_invoice_prorated	9	active_days	STRING
wa_invoice_prorated	10	monthly_rate	STRING
wa_invoice_prorated	11	original_charge	STRING
wa_invoice_prorated	12	cycle_usage_gb	STRING
wa_invoice_prorated	13	usage_days	STRING
wa_invoice_prorated	14	final_charge_for_usage_days	STRING
wa_invoice_prorated	15	pending_charge	STRING
wa_invoice_prorated	16	source_file	STRING
wa_invoice_prorated	17	sheet_name	STRING
