official_excel_billing_month	charge_type	rule_id	excel_row_count	excel_imsi_count	excel_total	platform_calculated_total	amount_diff_total	amount_abs_diff_total	excel_days_total	platform_days_total	day_diff_total	day_abs_diff_total	platform_days_population	platform_price_population	platform_amount_population	matched_count	wa_only_count	unresolved_count	missing_data_count	missing_mapping_count	day_exact_count	price_exact_count	amount_exact_count	unresolved_excel_total	unresolved_platform_total	unresolved_amount_diff_total	unresolved_abs_amount_diff_total	matched_rate	days_population_rate	price_population_rate	amount_population_rate	day_exact_rate	price_exact_rate	amount_exact_rate
2026-03	Credit for Offstocked Card	R_DAILY_CREDIT_OFFSTOCK	8	8	-170.4999999997	-301.142856	-130.642855	130.642855	147.0000000000	136.0000000000	-11.000000000	11.000000000	8	8	8	0	0	8	0	0	7	8	0	-170.4999999997	-301.142856	-130.642855	130.642855	0.0	1.0	1.0	1.0	0.875	1.0	0.0
2026-03	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	6164	6164	324001.0000000000	300175.000000	-23826.000000	23826.000000	191084.0000000000	186852.0000000000	-4232.000000000	4232.000000000	6164	6164	6164	4604	0	1275	0	285	6018	4910	4910	90703.0000000000	66877.000000	-23826.000000	23826.000000	0.7469175859831279	1.0	1.0	1.0	0.9763140817650876	0.7965606748864373	0.7965606748864373
2026-03	Full Cycle Charge - Backbilled for FEB Invoice	R_FULL_CYCLE_BACKBILLED_MONTHLY	269	269	12371.0000000000	12295.000000	-76.000000	76.000000	7532.0000000000	7532.0000000000	0E-9	0E-9	269	269	269	265	0	0	0	4	269	265	265	248.0000000000	172.000000	-76.000000	76.000000	0.9851301115241635	1.0	1.0	1.0	1.0	0.9851301115241635	0.9851301115241635
2026-03	New Activation: Prorated-in Charge	R_DAILY_PRORATED_NEW_ACTIVATION	1229	1229	33640.6774193462	31655.366382	-1985.311047	1985.311047	19804.0000000000	18627.0000000000	-1177.000000000	1177.000000000	1229	1229	1229	67	0	45	479	638	1056	1229	1056	32302.5253456157	30317.214298	-1985.311047	1985.311047	0.05451586655817738	1.0	1.0	1.0	0.8592351505288853	1.0	0.8592351505288853
2026-03	Offstocked before cycle start	R_OFFSTOCK_BEFORE_CYCLE_UNRESOLVED	1	1									0	0	0	0	1	0	0	0	0	0	0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
2026-03	Partial Charge - Card Replaced Mid Cycle	R_DAILY_PRORATED_REPLACEMENT_OLD_CARD	496	496	7327.7419354871	7284.700489	-43.041475	60.184331	4886.0000000000	4851.0000000000	-35.000000000	35.000000000	496	496	496	0	0	0	0	496	489	496	487	7327.7419354871	7284.700489	-43.041475	60.184331	0.0	1.0	1.0	1.0	0.9858870967741935	1.0	0.9818548387096774
2026-03	Prorated Out - Transferred to Wing's Simbank	R_DAILY_PRORATED_SIMBANK_TRANSFER	4901	4901	200751.2903225814	194109.539564	-4533.750734	4550.589444	103081.0000000000	100941.0000000000	-2140.000000000	2140.000000000	4901	4867	4867	0	0	0	34	4867	4352	4770	4126	200751.2903225814	194109.539564	-4533.750734	4550.589444	0.0	1.0	0.9930626402774944	0.9930626402774944	0.8879820444807183	0.9732707610691695	0.8418690063252398
2026-03	Prorated-out Charge - Offstocked Card	R_DAILY_PRORATED_OFFSTOCK	14	14	485.0967741935	485.096774	0.000000	0.000000	245.0000000000	245.0000000000	0E-9	0E-9	14	14	14	14	0	0	0	0	14	14	14					1.0	1.0	1.0	1.0	1.0	1.0	1.0
2026-04	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	7025	7025	355210.0000000000	341910.000000	-13300.000000	13300.000000	210764.0000000000	210735.0000000000	-29.000000000	29.000000000	7025	7025	7025	5254	0	701	0	1070	7024	6325	6325	95514.0000000000	82214.000000	-13300.000000	13300.000000	0.7479003558718861	1.0	1.0	1.0	0.9998576512455516	0.900355871886121	0.900355871886121
2026-04	New Activation: Prorated-in Charge	R_DAILY_PRORATED_NEW_ACTIVATION	706	706	16597.5408602118	16012.535469	-210.938707	222.497847	9158.0000000000	9028.0000000000	-130.000000000	130.000000000	706	679	679	2	0	1	356	347	674	679	636	16533.0408602118	15948.035469	-210.938707	222.497847	0.0028328611898017	1.0	0.9617563739376771	0.9617563739376771	0.9546742209631728	0.9617563739376771	0.9008498583569405
