source_file	charge_type	rows	start_month_formula_hits	end_month_formula_hits	cycle_formula_hits	date_days_hits	cycle_days_hits	abs_err_start_month	abs_err_end_month	abs_err_cycle	min_start_month_days	max_start_month_days	min_end_month_days	max_end_month_days	min_cycle_days	max_cycle_days
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Full Cycle Charge	7025	7011	1053	7025	7025	7025	20.066662	9764.968314	0.000000	30	30	30	31	30	31
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	New Activation: Prorated-in Charge	706	243	27	706	674	3	318.792589	533.621622	0.000000	30	30	30	31	30	31
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Partial Charge - Card Replaced Mid Cycle	49	49	49	49	46	0	0.000000	0.000000	0.000000	30	30	30	30	30	30
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Credit for Offstocked Card	8	0	0	0	7	1	496.000000	464.500001	496.000000	28	28	31	31	28	28
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Full Cycle Charge	6164	6164	1064	6164	6164	6164	0.000000	8765.233668	0.000000	31	31	30	31	31	31
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Full Cycle Charge - Backbilled for FEB Invoice	269	269	0	269	269	269	0.000000	1197.193522	0.000000	28	28	31	31	28	28
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	New Activation: Prorated-in Charge	1229	1157	0	1229	1056	9	141.483900	1214.106316	0.000000	31	31	30	31	28	31
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Partial Charge - Card Replaced Mid Cycle	496	496	496	496	489	2	0.000000	0.000000	0.000000	31	31	31	31	31	31
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Prorated Out - Transferred to Wing's Simbank	4901	4901	4901	4901	4478	1339	0.000000	0.000000	0.000000	31	31	31	31	31	31
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Prorated-out Charge - Offstocked Card	14	14	14	14	14	0	0.000000	0.000000	0.000000	31	31	31	31	31	31
01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Credit for Offstocked Card	2	0	0	0	2	0	86.000000	84.890322	86.000000	30	30	31	31	30	30
01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Full Cycle Charge	7251	7251	1066	7163	7163	7163	0.000000	10589.566923	71.866662	31	31	30	31	30	31
01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	New Activation: Prorated-in Charge	200	0	0	200	200	0	140.000000	140.000000	0.000000	31	31	31	31	30	30
01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Partial Charge - Card Replaced Mid Cycle	30	30	30	30	30	0	0.000000	0.000000	0.000000	31	31	31	31	31	31
01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Partial Charge - New Card Used as Replacement Mid Cycle	402	209	104	402	390	4	155.617201	255.164519	0.000000	31	31	30	31	30	31
01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Prorated-out Charge - Offstocked Card	2	2	2	2	2	0	0.000000	0.000000	0.000000	31	31	31	31	31	31
