excel_row_key	platform_fact_key	excel_source_file	official_excel_billing_month	reconciliation_billing_month	imsi	excel_product_id	excel_product_name	charge_type	excel_cycle_start	excel_cycle_end	excel_final_start	excel_final_end	excel_days	excel_price	excel_amount	platform_product_id	platform_product_name	platform_monthly_rent	platform_package_price	platform_time_zone	platform_iccid	platform_cycle_start	platform_cycle_end	platform_cycle_days	platform_calculated_days	platform_calculated_price	platform_calculated_amount	day_diff	price_diff	amount_diff	rule_id	platform_price_state	product_mapping_status	platform_candidate_count	platform_candidate_product_count	platform_candidate_window_count	activation_event_count	offstock_event_count	replacement_event_count	transfer_event_count	difference_reason	source_match_status	record_side
	2026-04|083901822080413568|600111133|2026-04-25|2026-05-25			2026-04	083901822080413568											600111133	ATT 300GB Plan DI SL (PI)	43.0000000000	43.0000000000	GMT-5	89012802332081398840	2026-04-25	2026-05-25	31.0000000000		43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901624082521756|60011883|2026-04-12|2026-05-12			2026-04	083901624082521756											60011883	TMO 300GB Plan AT (2) (PI)	62.0000000000	62.0000000000	GMT-5	8901260428782571656f	2026-04-12	2026-05-12	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144085760165|60011981|2026-04-20|2026-05-20			2026-04	083901144085760165											60011981	ATT 300GB Plan DF (PI)	62.0000000000	62.0000000000	GMT-5	89014103334586722815	2026-04-20	2026-05-20	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083911880212481531|600111176|2026-04-19|2026-05-19			2026-04	083911880212481531											600111176	TMO Unlimited TT (PI)	62.0000000000	62.0000000000	GMT-5	8901882024118451131f	2026-04-19	2026-05-19	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083911880212480547|600111176|2026-04-19|2026-05-19			2026-04	083911880212480547											600111176	TMO Unlimited TT (PI)	62.0000000000	62.0000000000	GMT-5	8901882024118450745f	2026-04-19	2026-05-19	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144065317873|60011612|2026-04-25|2026-05-25			2026-04	083901144065317873											60011612	ATT 300GB Plan SP (PI)	62.0000000000	62.0000000000	GMT-5	89014103334561462692	2026-04-25	2026-05-25	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901622016082400|60011882|2026-04-01|2026-05-01			2026-04	083901622016082400											60011882	TMO 300GB Plan AT (1) (A) (PI)	62.0000000000	62.0000000000	GMT-5	8901260264718042003f	2026-04-01	2026-05-01	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144065410123|60011612|2026-04-25|2026-05-25			2026-04	083901144065410123											60011612	ATT 300GB Plan SP (PI)	62.0000000000	62.0000000000	GMT-5	89014103334561462809	2026-04-25	2026-05-25	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901624038733688|60011882|2026-04-01|2026-05-01			2026-04	083901624038733688											60011882	TMO 300GB Plan AT (1) (A) (PI)	62.0000000000	62.0000000000	GMT-5	8901260484733763884f	2026-04-01	2026-05-01	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901421048504951|600111094|#|#			2026-04	083901421048504951											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	8901240187140594157f					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
