reconciliation_billing_month	source_match_status	difference_reason	record_side	charge_type	row_count	imsi_count	excel_total	platform_calculated_total	amount_diff_total	amount_abs_diff_total	excel_days_total	platform_days_total	day_diff_total	day_abs_diff_total	matched_count	wa_only_count	platform_only_count	unresolved_count	missing_data_count	missing_mapping_count
2026-03	UNRESOLVED	AMOUNT_DIFF	EXCEL_DETAIL	Credit for Offstocked Card	7	7	-170.4999999997	-263.499999	-92.999998	92.999998	119.0000000000	119.0000000000	0E-9	0E-9	0	0	0	7	0	0
2026-03	UNRESOLVED	DAY_DIFF	EXCEL_DETAIL	Credit for Offstocked Card	1	1	0E-10	-37.642857	-37.642857	37.642857	28.0000000000	17.0000000000	-11.000000000	11.000000000	0	0	0	1	0	0
2026-03	MATCHED	NO_DIFFERENCE	EXCEL_DETAIL	Full Cycle Charge	4604	4604	233298.0000000000	233298.000000	0.000000	0.000000	142724.0000000000	142724.0000000000	0E-9	0E-9	4604	0	0	0	0	0
2026-03	MISSING_MAPPING	MULTIPLE_PLATFORM_PRODUCT_OR_WINDOW_CANDIDATES	EXCEL_DETAIL	Full Cycle Charge	285	285	11653.0000000000	11653.000000	0.000000	0.000000	8835.0000000000	5233.0000000000	-3602.000000000	3602.000000000	0	0	0	0	0	285
2026-03	UNRESOLVED	PLATFORM_WINDOW_NOT_COVERING_EXCEL_WINDOW	EXCEL_DETAIL	Full Cycle Charge	21	21	1302.0000000000	1302.000000	0.000000	0.000000	651.0000000000	21.0000000000	-630.000000000	630.000000000	0	0	0	21	0	0
2026-03	UNRESOLVED	PRICE_DIFF	EXCEL_DETAIL	Full Cycle Charge	1254	1254	77748.0000000000	53922.000000	-23826.000000	23826.000000	38874.0000000000	38874.0000000000	0E-9	0E-9	0	0	0	1254	0	0
2026-03	MATCHED	NO_DIFFERENCE	EXCEL_DETAIL	Full Cycle Charge - Backbilled for FEB Invoice	265	265	12123.0000000000	12123.000000	0.000000	0.000000	7420.0000000000	7420.0000000000	0E-9	0E-9	265	0	0	0	0	0
2026-03	MISSING_MAPPING	MULTIPLE_PLATFORM_PRODUCT_OR_WINDOW_CANDIDATES	EXCEL_DETAIL	Full Cycle Charge - Backbilled for FEB Invoice	4	4	248.0000000000	172.000000	-76.000000	76.000000	112.0000000000	112.0000000000	0E-9	0E-9	0	0	0	0	0	4
2026-03	MATCHED	NO_DIFFERENCE	EXCEL_DETAIL	New Activation: Prorated-in Charge	67	67	1338.1520737305	1338.152084	0.000000	0.000000	963.0000000000	963.0000000000	0E-9	0E-9	67	0	0	0	0	0
2026-03	MISSING_DATA	NO_ACTIVATION_EVENT_IN_PLATFORM_LOG	EXCEL_DETAIL	New Activation: Prorated-in Charge	479	479	15696.5207373205	15343.306442	-353.214287	353.214287	10126.0000000000	9872.0000000000	-254.000000000	254.000000000	0	0	0	0	479	0
2026-03	MISSING_MAPPING	MULTIPLE_PLATFORM_PRODUCT_OR_WINDOW_CANDIDATES	EXCEL_DETAIL	New Activation: Prorated-in Charge	638	638	15497.7142857148	14349.714296	-1148.000000	1148.000000	7916.0000000000	7342.0000000000	-574.000000000	574.000000000	0	0	0	0	0	638
2026-03	UNRESOLVED	DAY_DIFF	EXCEL_DETAIL	New Activation: Prorated-in Charge	45	45	1108.2903225804	624.193560	-484.096760	484.096760	799.0000000000	450.0000000000	-349.000000000	349.000000000	0	0	0	45	0	0
2026-03	WA_ONLY	NO_PLATFORM_CARD_WINDOW	EXCEL_DETAIL	Offstocked before cycle start	1	1									0	1	0	0	0	0
2026-03	MISSING_MAPPING	MULTIPLE_PLATFORM_PRODUCT_OR_WINDOW_CANDIDATES	EXCEL_DETAIL	Partial Charge - Card Replaced Mid Cycle	2	2	80.0000000000	88.571428	8.571428	8.571428	40.0000000000	40.0000000000	0E-9	0E-9	0	0	0	0	0	2
2026-03	MISSING_MAPPING	NO_EXPLICIT_REPLACEMENT_MAPPING	EXCEL_DETAIL	Partial Charge - Card Replaced Mid Cycle	494	494	7247.7419354871	7196.129061	-51.612903	51.612903	4846.0000000000	4811.0000000000	-35.000000000	35.000000000	0	0	0	0	0	494
2026-03	MISSING_DATA	PLATFORM_PRICE_NOT_UNIQUE	EXCEL_DETAIL	Prorated Out - Transferred to Wing's Simbank	34	34	2108.0000000000				1054.0000000000	1054.0000000000	0E-9	0E-9	0	0	0	0	34	0
2026-03	MISSING_MAPPING	MULTIPLE_PLATFORM_PRODUCT_OR_WINDOW_CANDIDATES	EXCEL_DETAIL	Prorated Out - Transferred to Wing's Simbank	352	352	6144.5483870984	5134.733129	-1009.815243	1009.815243	3273.0000000000	2830.0000000000	-443.000000000	443.000000000	0	0	0	0	0	352
2026-03	MISSING_MAPPING	NO_EXPLICIT_SIMBANK_TRANSFER_MAPPING	EXCEL_DETAIL	Prorated Out - Transferred to Wing's Simbank	4515	4515	192498.7419354830	188974.806435	-3523.935491	3540.774201	98754.0000000000	97057.0000000000	-1697.000000000	1697.000000000	0	0	0	0	0	4515
2026-03	MATCHED	NO_DIFFERENCE	EXCEL_DETAIL	Prorated-out Charge - Offstocked Card	14	14	485.0967741935	485.096774	0.000000	0.000000	245.0000000000	245.0000000000	0E-9	0E-9	14	0	0	0	0	0
2026-03	PLATFORM_ONLY	NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_FACT		3272	3145									0	0	3272	0	0	0
2026-04	MATCHED	NO_DIFFERENCE	EXCEL_DETAIL	Full Cycle Charge	5254	5254	259696.0000000000	259696.000000	0.000000	0.000000	157634.0000000000	157634.0000000000	0E-9	0E-9	5254	0	0	0	0	0
2026-04	MISSING_MAPPING	MULTIPLE_PLATFORM_PRODUCT_OR_WINDOW_CANDIDATES	EXCEL_DETAIL	Full Cycle Charge	1070	1070	52071.0000000000	52071.000000	0.000000	0.000000	32100.0000000000	32100.0000000000	0E-9	0E-9	0	0	0	0	0	1070
2026-04	UNRESOLVED	PLATFORM_WINDOW_NOT_COVERING_EXCEL_WINDOW	EXCEL_DETAIL	Full Cycle Charge	1	1	43.0000000000	43.000000	0.000000	0.000000	30.0000000000	1.0000000000	-29.000000000	29.000000000	0	0	0	1	0	0
2026-04	UNRESOLVED	PRICE_DIFF	EXCEL_DETAIL	Full Cycle Charge	700	700	43400.0000000000	30100.000000	-13300.000000	13300.000000	21000.0000000000	21000.0000000000	0E-9	0E-9	0	0	0	700	0	0
2026-04	MATCHED	NO_DIFFERENCE	EXCEL_DETAIL	New Activation: Prorated-in Charge	2	2	64.5000000000	64.500000	0.000000	0.000000	45.0000000000	45.0000000000	0E-9	0E-9	2	0	0	0	0	0
2026-04	MISSING_DATA	NO_ACTIVATION_EVENT_IN_PLATFORM_LOG	EXCEL_DETAIL	New Activation: Prorated-in Charge	329	329	8754.1096774161	8578.035460	-176.074192	185.229030	5237.0000000000	5125.0000000000	-112.000000000	112.000000000	0	0	0	0	329	0
2026-04	MISSING_DATA	PLATFORM_PRICE_NOT_UNIQUE	EXCEL_DETAIL	New Activation: Prorated-in Charge	27	27	374.0666666659				181.0000000000	181.0000000000	0E-9	0E-9	0	0	0	0	27	0
2026-04	MISSING_MAPPING	MULTIPLE_PLATFORM_PRODUCT_OR_WINDOW_CANDIDATES	EXCEL_DETAIL	New Activation: Prorated-in Charge	347	347	7368.8000000008	7332.733342	-36.066666	36.066666	3669.0000000000	3651.0000000000	-18.000000000	18.000000000	0	0	0	0	0	347
2026-04	UNRESOLVED	AMOUNT_DIFF	EXCEL_DETAIL	New Activation: Prorated-in Charge	1	1	36.0645161290	37.266667	1.202151	1.202151	26.0000000000	26.0000000000	0E-9	0E-9	0	0	0	1	0	0
2026-04	MISSING_MAPPING	MULTIPLE_PLATFORM_PRODUCT_OR_WINDOW_CANDIDATES	EXCEL_DETAIL	Partial Charge - Card Replaced Mid Cycle	6	6	155.0000000001	107.499999	-47.500002	47.500002	75.0000000000	75.0000000000	0E-9	0E-9	0	0	0	0	0	6
2026-04	MISSING_MAPPING	NO_EXPLICIT_REPLACEMENT_MAPPING	EXCEL_DETAIL	Partial Charge - Card Replaced Mid Cycle	43	43	326.7666666661	314.033327	-12.733334	12.733334	205.0000000000	197.0000000000	-8.000000000	8.000000000	0	0	0	0	0	43
2026-04	PLATFORM_ONLY	NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_FACT		15218	8780									0	0	15218	0	0	0
2026-05	MISSING_MAPPING	MULTIPLE_PLATFORM_PRODUCT_OR_WINDOW_CANDIDATES	EXCEL_DETAIL	Credit for Offstocked Card	1	1	-20.0666666667	-22.933333	-2.866666	2.866666	16.0000000000	16.0000000000	0E-9	0E-9	0	0	0	0	0	1
2026-05	UNRESOLVED	AMOUNT_DIFF	EXCEL_DETAIL	Credit for Offstocked Card	1	1	-31.5333333333	-11.466667	20.066666	20.066666	8.0000000000	8.0000000000	0E-9	0E-9	0	0	0	1	0	0
2026-05	MATCHED	NO_DIFFERENCE	EXCEL_DETAIL	Full Cycle Charge	6305	6305	318164.0000000000	318164.000000	0.000000	0.000000	195455.0000000000	195455.0000000000	0E-9	0E-9	6305	0	0	0	0	0
2026-05	MISSING_DATA	PLATFORM_PRICE_NOT_UNIQUE	EXCEL_DETAIL	Full Cycle Charge	27	27	1674.0000000000				837.0000000000	837.0000000000	0E-9	0E-9	0	0	0	0	27	0
2026-05	MISSING_MAPPING	MULTIPLE_PLATFORM_PRODUCT_OR_WINDOW_CANDIDATES	EXCEL_DETAIL	Full Cycle Charge	131	131	5861.0000000000	5861.000000	0.000000	0.000000	4061.0000000000	4061.0000000000	0E-9	0E-9	0	0	0	0	0	131
2026-05	UNRESOLVED	DAY_DIFF	EXCEL_DETAIL	Full Cycle Charge	88	88	2156.0000000000	2156.000000	0.000000	0.000000	2728.0000000000	2640.0000000000	-88.000000000	88.000000000	0	0	0	88	0	0
2026-05	UNRESOLVED	PRICE_DIFF	EXCEL_DETAIL	Full Cycle Charge	700	700	43400.0000000000	30100.000000	-13300.000000	13300.000000	21700.0000000000	21700.0000000000	0E-9	0E-9	0	0	0	700	0	0
2026-05	MATCHED	NO_DIFFERENCE	EXCEL_DETAIL	New Activation: Prorated-in Charge	200	200	4340.0000000000	4340.000000	0.000000	0.000000	2100.0000000000	2100.0000000000	0E-9	0E-9	200	0	0	0	0	0
