table_schema	table_name	ordinal_position	column_name	data_type
ods	resource_res_carrier	0	ID	LONG
ods	resource_res_carrier	1	CARRIER_NAME	STRING
ods	resource_res_carrier	2	PHONE	STRING
ods	resource_res_carrier	3	CARRIER_TYPE	INT
ods	resource_res_carrier	4	MNO_TYPE	INT
ods	resource_res_carrier	5	ACTUAL_MNO_ID	LONG
ods	resource_res_carrier	6	MNO_NAME_LANG_PKG	STRING
ods	resource_res_carrier	7	DESCRIPTION	STRING
ods	resource_res_carrier	8	COUNTRY_CODE	STRING
ods	resource_res_carrier	9	mcc	INT
ods	resource_res_carrier	10	WEB_SITE	STRING
ods	resource_res_carrier	11	group_id	LONG
ods	resource_res_carrier	12	simple_carrier_name	STRING
ods	resource_res_carrier	13	account_address	STRING
ods	resource_res_carrier	14	account_bank_address	STRING
ods	resource_res_carrier	15	account_bank_name	STRING
ods	resource_res_carrier	16	account_name	STRING
ods	resource_res_carrier	17	account_no	STRING
ods	resource_res_carrier	18	address	STRING
ods	resource_res_carrier	19	contact	STRING
ods	resource_res_carrier	20	email	STRING
ods	resource_res_carrier	21	owner	STRING
ods	resource_res_carrier	22	swift_code	STRING
ods	resource_res_carrier	23	region_id	LONG
ods	resource_res_carrier	24	mncs	STRING
ods	resource_res_carrier	25	status	INT
ods	resource_res_carrier	26	create_by	STRING
ods	resource_res_carrier	27	create_time	TIMESTAMP
ods	resource_res_carrier	28	modify_by	STRING
ods	resource_res_carrier	29	modify_time	TIMESTAMP
ods	resource_res_carrier	30	ppci_n	STRING
ods	resource_res_carrier	31	dt	TIMESTAMP
ods	resource_res_vsim_cycle_history	0	imsi	STRING
ods	resource_res_vsim_cycle_history	1	product_id	LONG
ods	resource_res_vsim_cycle_history	2	cycle_time	TIMESTAMP
ods	resource_res_vsim_cycle_history	3	next_cycle_time	TIMESTAMP
ods	resource_res_vsim_cycle_history	4	CONS_FLUX_KB	LONG
ods	resource_res_vsim_cycle_history	5	cycle_total_flow	LONG
ods	resource_res_vsim_cycle_history	6	usage_of_percentage	DOUBLE
ods	resource_res_vsim_cycle_history	7	create_time	TIMESTAMP
ods	resource_res_vsim_cycle_history	8	package_price	DOUBLE
ods	resource_res_vsim_cycle_history	9	time_zone	STRING
ods	resource_res_vsim_product	0	product_id	STRING
ods	resource_res_vsim_product	1	product_name	STRING
ods	resource_res_vsim_product	2	service	INT
ods	resource_res_vsim_product	3	description	STRING
ods	resource_res_vsim_product	4	init_flux	STRING
ods	resource_res_vsim_product	5	carrier_id	LONG
ods	resource_res_vsim_product	6	supplier_id	LONG
ods	resource_res_vsim_product	7	status	INT
ods	resource_res_vsim_product	8	replenishment	INT
ods	resource_res_vsim_product	9	time_zone	STRING
ods	resource_res_vsim_product	10	group_id	LONG
ods	resource_res_vsim_product	11	owner	STRING
ods	resource_res_vsim_product	12	apn_id	LONG
ods	resource_res_vsim_product	13	in_flux_package_amount	DOUBLE
ods	resource_res_vsim_product	14	in_flux_package_unit	STRING
ods	resource_res_vsim_product	15	in_flux_package_aviable_amount_kb	LONG
ods	resource_res_vsim_product	16	package_type	LONG
ods	resource_res_vsim_product	17	active_type	LONG
ods	resource_res_vsim_product	18	agreement_time_periods	LONG
ods	resource_res_vsim_product	19	agreement_time_contains_pause	LONG
ods	resource_res_vsim_product	20	max_pause_days	LONG
ods	resource_res_vsim_product	21	baika_valid_time_month	LONG
ods	resource_res_vsim_product	22	billing_cycle	STRING
ods	resource_res_vsim_product	23	loop_using_after_cycle	LONG
ods	resource_res_vsim_product	24	cover_type	LONG
ods	resource_res_vsim_product	25	local_currency	STRING
ods	resource_res_vsim_product	26	monthly_rent	DOUBLE
ods	resource_res_vsim_product	27	monthly_rent_withusd	DOUBLE
ods	resource_res_vsim_product	28	over_flux_package_amount	LONG
ods	resource_res_vsim_product	29	over_flux_package_unit	STRING
ods	resource_res_vsim_product	30	over_flux_package_price_all_countries	STRING
ods	resource_res_vsim_product	31	package_price	DOUBLE
ods	resource_res_vsim_product	32	package_price_withusd	DOUBLE
ods	resource_res_vsim_product	33	pause_monthly_rent	DOUBLE
ods	resource_res_vsim_product	34	pause_monthly_rent_withusd	DOUBLE
ods	resource_res_vsim_product	35	payment_day	LONG
ods	resource_res_vsim_product	36	payment_type	LONG
ods	resource_res_vsim_product	37	pooling	LONG
ods	resource_res_vsim_product	38	pooling_cons_flux	LONG
ods	resource_res_vsim_product	39	price_include_tax	DOUBLE
ods	resource_res_vsim_product	40	price_include_tax_withusd	DOUBLE
ods	resource_res_vsim_product	41	product_name_in_supplier	STRING
ods	resource_res_vsim_product	42	purchase_fee_disposable	DOUBLE
ods	resource_res_vsim_product	43	tax_rate	DOUBLE
ods	resource_res_vsim_product	44	mccs	STRING
ods	resource_res_vsim_product	45	is_local	LONG
ods	resource_res_vsim_product	46	network_type	LONG
ods	resource_res_vsim_product	47	network_standard	LONG
ods	resource_res_vsim_product	48	roam_type	LONG
ods	resource_res_vsim_product	49	sim_type	LONG
ods	resource_res_vsim_product	50	email_notify_id	LONG
ods	resource_res_vsim_product	51	create_by	STRING
ods	resource_res_vsim_product	52	create_time	STRING
ods	resource_res_vsim_product	53	modify_by	STRING
ods	resource_res_vsim_product	54	modify_time	STRING
ods	resource_res_vsim_product	55	countrys	STRING
ods	resource_res_vsim_product	56	balance_currency	STRING
ods	resource_res_vsim_product	57	balance_rate	DOUBLE
ods	resource_res_vsim_product	58	settle_accounts_currency	STRING
ods	resource_res_vsim_product	59	settle_accounts_rate	DOUBLE
ods	resource_res_vsim_product	60	agreement_time_periods_unit	STRING
ods	resource_res_vsim_product	61	over_flow_fee	DOUBLE
ods	resource_res_vsim_product	62	over_flow_fee_unit	STRING
ods	resource_res_vsim_product	63	plmn_sel	STRING
ods	resource_res_vsim_product	64	cover_group_id	LONG
ods	resource_res_vsim_product	65	billing_type	INT
