pre_status	next_status	desc_log	log_rows	imsi_count	min_create_date	max_create_date
冻结	解冻	手动变更-解冻	185032	8853	2026-02-01	2026-05-31
可分配	已分配	指定分配	76241	12667	2026-02-01	2026-05-31
暂停	激活	人工变更-激活	8541	2846	2026-02-01	2026-05-26
挂起	可分配	流量用尽挂起	7299	4082	2026-02-01	2026-05-31
上架	SIM卡挂起	流量用尽挂起	6810	4208	2026-02-01	2026-05-31
激活	暂停	人工变更-暂停	6255	5043	2026-02-01	2026-05-26
白卡	激活	人工变更-激活	4032	3268	2026-02-01	2026-05-20
暂停	作废	人工变更-作废	3080	3056	2026-02-01	2026-05-22
上架	下架	手动变更-下架	2455	1967	2026-02-01	2026-05-31
上架	预下架	人工变更-预下架	2353	2292	2026-02-01	2026-05-26
预下架	下架	满足预下架条件	1992	1937	2026-02-01	2026-05-26
下架	上架	手动变更-上架	1620	1271	2026-02-02	2026-05-29
上架	下架	人工变更-预下架/人工变更-直接下架	1615	1550	2026-02-01	2026-05-26
作废	白卡	人工变更-白卡	1021	1008	2026-02-01	2026-05-16
激活	激活	人工变更-激活	295	286	2026-02-01	2026-05-01
白卡	作废	人工变更-作废	170	168	2026-04-16	2026-05-15
已分配	-	调整账期-人工调整	89	88	2026-03-09	2026-04-09
可分配	-	调整账期-人工调整	85	79	2026-02-01	2026-04-09
下架	下架	手动变更-下架	50	49	2026-02-03	2026-04-26
上架	上架	手动变更-上架	23	20	2026-02-01	2026-04-23
-	SIM卡挂起	流量用尽挂起	14	10	2026-02-10	2026-04-09
作废	作废	人工变更-作废	13	13	2026-03-09	2026-03-24
流量用尽挂起	-	调整账期-人工调整	8	5	2026-03-09	2026-04-09
流量用尽挂起	-	切换下一次账期	4	4	2026-02-10	2026-02-26
挂起	上架	手动变更-上架	1	1	2026-02-23	2026-02-23
可分配	-	切换下一次账期	1	1	2026-03-01	2026-03-01
