excel_source_file	official_excel_billing_month	imsi	excel_iccid	excel_product_name	excel_product_id	charge_type	excel_cycle_start	excel_cycle_end	excel_final_start	excel_final_end	excel_days	excel_price	excel_amount	excel_note	excel_line_no	excel_row_key	platform_product_id	platform_product_name	platform_monthly_rent	platform_package_price	platform_time_zone	platform_iccid	snapshot_cycle_start	snapshot_cycle_end	last_snapshot_ts	history_cycle_start	history_cycle_end	history_package_price	history_time_zone	platform_cycle_start	platform_cycle_end	platform_window_source	platform_candidate_count	platform_candidate_product_count	platform_candidate_window_count	candidate_rank	activation_event_count	offstock_event_count	replacement_event_count	transfer_event_count	rule_id	platform_calculated_price	platform_price_state	product_mapping_status	platform_cycle_days	platform_calculated_days	platform_window_covers_excel	platform_calculated_amount	day_diff	price_diff	amount_diff	difference_reason	source_match_status
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	083901144006252838		ATT 100GB Plan DI JL (WA)		Full Cycle Charge	2026-04-16	2026-05-15	2026-04-16	2026-05-15	30.0000000000	43.0000000000	43.0000000000		100	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#100	600111134	ATT 100GB Plan DI JL (WA)	43.0000000000	43.0000000000	GMT-5	89014104334604986110	2026-04-16	2026-05-16	2026-04-30T23:00:00.000Z	2026-04-16	2026-05-15	0E-10	GMT-5	2026-04-16	2026-05-15	CYCLE_HISTORY	2	1	1	1	0	0	0	0	R_FULL_CYCLE_MONTHLY	43.0000000000	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_EXACT_ONLY	30.0000000000	30.0000000000	1	43.000000	0E-9	0E-9	0.000000	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	083901144065314334		AT&T 125GB Plan ATM RA (WA)		Full Cycle Charge	2026-04-04	2026-05-03	2026-04-04	2026-05-03	30.0000000000	43.0000000000	43.0000000000		1003	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1003	600111145	AT&T 150GB Plan ATM RA (WA)	43.0000000000	43.0000000000	GMT-5	89014103334561431283	2026-03-04	2026-04-04	2026-04-04T03:00:00.000Z	2026-04-04	2026-05-03	0E-10	GMT-5	2026-04-04	2026-05-03	CYCLE_HISTORY	2	1	1	1	0	0	0	0	R_FULL_CYCLE_MONTHLY	43.0000000000	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	30.0000000000	30.0000000000	1	43.000000	0E-9	0E-9	0.000000	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	083901144065314452		AT&T 300GB Plan ATM RA (WA)		Full Cycle Charge	2026-04-04	2026-05-03	2026-04-04	2026-05-03	30.0000000000	62.0000000000	62.0000000000		1008	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1008	600111155	AT&T 300GB Plan ATM RA (WA)	62.0000000000	62.0000000000	GMT-5	89014103334561418785	2026-04-04	2026-05-04	2026-04-30T23:00:00.000Z	2026-04-04	2026-05-03	0E-10	GMT-5	2026-04-04	2026-05-03	CYCLE_HISTORY	2	1	1	1	0	0	0	0	R_FULL_CYCLE_MONTHLY	62.0000000000	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_EXACT_ONLY	30.0000000000	30.0000000000	1	62.000000	0E-9	0E-9	0.000000	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	083901144065314516		AT&T 100GB Plan RA (WA)		Full Cycle Charge	2026-04-06	2026-05-05	2026-04-06	2026-05-05	30.0000000000	43.0000000000	43.0000000000		1012	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1012	600111138	AT&T 100GB Plan RA (WA)	43.0000000000	43.0000000000	GMT-5	89014103334561469911	2026-04-06	2026-05-06	2026-04-30T23:00:00.000Z	2026-04-06	2026-05-05	0E-10	GMT-5	2026-04-06	2026-05-05	CYCLE_HISTORY	2	1	1	1	0	0	0	0	R_FULL_CYCLE_MONTHLY	43.0000000000	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_EXACT_ONLY	30.0000000000	30.0000000000	1	43.000000	0E-9	0E-9	0.000000	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	083901144065314564		AT&T 300GB Plan SP RA (WA)		Full Cycle Charge	2026-04-25	2026-05-24	2026-04-25	2026-05-24	30.0000000000	62.0000000000	62.0000000000		1013	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1013	600111150	AT&T 150GB Plan SP RA (WA)	43.0000000000	43.0000000000	GMT-5	89014103334561418769	2026-03-25	2026-04-25	2026-04-25T03:00:00.000Z	2026-04-25	2026-05-24	0E-10	GMT-5	2026-04-25	2026-05-24	CYCLE_HISTORY	2	1	1	1	0	0	0	0	R_FULL_CYCLE_MONTHLY	43.0000000000	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	30.0000000000	30.0000000000	1	43.000000	0E-9	-19.000000000	-19.000000	PRICE_DIFF	UNRESOLVED
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	083901144065314632		AT&T 125GB Plan ATM RA (WA)		Full Cycle Charge	2026-04-04	2026-05-03	2026-04-04	2026-05-03	30.0000000000	43.0000000000	43.0000000000		1016	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1016	600111145	AT&T 150GB Plan ATM RA (WA)	43.0000000000	43.0000000000	GMT-5	89014103334561255815	2026-03-04	2026-04-04	2026-04-04T03:00:00.000Z	2026-04-04	2026-05-03	0E-10	GMT-5	2026-04-04	2026-05-03	CYCLE_HISTORY	2	1	1	1	0	2	0	0	R_FULL_CYCLE_MONTHLY	43.0000000000	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	30.0000000000	30.0000000000	1	43.000000	0E-9	0E-9	0.000000	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	083901144006254209		ATT 100GB Plan DI JL (WA)		Full Cycle Charge	2026-04-16	2026-05-15	2026-04-16	2026-05-15	30.0000000000	43.0000000000	43.0000000000		102	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#102	600111134	ATT 100GB Plan DI JL (WA)	43.0000000000	43.0000000000	GMT-5	89014104334604985823	2026-04-16	2026-05-16	2026-04-30T23:00:00.000Z	2026-04-16	2026-05-15	0E-10	GMT-5	2026-04-16	2026-05-15	CYCLE_HISTORY	2	1	1	1	0	0	0	0	R_FULL_CYCLE_MONTHLY	43.0000000000	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_EXACT_ONLY	30.0000000000	30.0000000000	1	43.000000	0E-9	0E-9	0.000000	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	083901144065314707		AT&T 100GB Plan RA (WA)		Full Cycle Charge	2026-04-06	2026-05-05	2026-04-06	2026-05-05	30.0000000000	43.0000000000	43.0000000000		1021	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1021	600111138	AT&T 100GB Plan RA (WA)	43.0000000000	43.0000000000	GMT-5	89014103334561431671	2026-03-06	2026-04-06	2026-04-06T03:00:00.000Z	2026-04-06	2026-05-05	0E-10	GMT-5	2026-04-06	2026-05-05	CYCLE_HISTORY	2	1	1	1	0	0	0	0	R_FULL_CYCLE_MONTHLY	43.0000000000	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_EXACT_ONLY	30.0000000000	30.0000000000	1	43.000000	0E-9	0E-9	0.000000	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	083901144065314798		AT&T 125GB Plan ATM RA (WA)		Full Cycle Charge	2026-04-04	2026-05-03	2026-04-04	2026-05-03	30.0000000000	43.0000000000	43.0000000000		1023	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1023	600111145	AT&T 150GB Plan ATM RA (WA)	43.0000000000	43.0000000000	GMT-5	89014103334561256011	2026-03-04	2026-04-04	2026-04-04T03:00:00.000Z	2026-04-04	2026-05-03	0E-10	GMT-5	2026-04-04	2026-05-03	CYCLE_HISTORY	2	1	1	1	0	2	0	0	R_FULL_CYCLE_MONTHLY	43.0000000000	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	30.0000000000	30.0000000000	1	43.000000	0E-9	0E-9	0.000000	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	083901144065314911		AT&T 125GB Plan ATM RA (WA)		Full Cycle Charge	2026-04-04	2026-05-03	2026-04-04	2026-05-03	30.0000000000	43.0000000000	43.0000000000		1026	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1026	600111145	AT&T 150GB Plan ATM RA (WA)	43.0000000000	43.0000000000	GMT-5	89014103334561250899	2026-03-04	2026-04-04	2026-04-04T03:00:00.000Z	2026-04-04	2026-05-03	0E-10	GMT-5	2026-04-04	2026-05-03	CYCLE_HISTORY	2	1	1	1	0	2	0	0	R_FULL_CYCLE_MONTHLY	43.0000000000	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	30.0000000000	30.0000000000	1	43.000000	0E-9	0E-9	0.000000	NO_DIFFERENCE	MATCHED
