reconciliation_billing_month	source_match_status	record_side	row_count	distinct_imsi_count	excel_total_final_charge	platform_calculated_total	amount_diff_total	amount_abs_diff_total	excel_days_total	platform_days_total	day_diff_total	day_abs_diff_total	day_exact_row_count	price_exact_row_count	amount_exact_row_count
2026-03	MATCHED	EXCEL_DETAIL	4950	4950	247244.2488479240	247244.248858	0.000000	0.000000	151352.0000000000	151352.0000000000	0E-9	0E-9	4950	4950	4950
2026-03	MISSING_DATA	EXCEL_DETAIL	513	513	17804.5207373205	15343.306442	-353.214287	353.214287	11180.0000000000	10926.0000000000	-254.000000000	254.000000000	477	479	443
2026-03	MISSING_MAPPING	EXCEL_DETAIL	6290	6250	233369.7465437833	227568.954349	-5800.792209	5834.773775	123776.0000000000	117425.0000000000	-6351.000000000	6351.000000000	5517	6189	5444
2026-03	UNRESOLVED	EXCEL_DETAIL	1328	1328	79987.7903225807	55547.050704	-24440.739615	24440.739615	40471.0000000000	39481.0000000000	-990.000000000	990.000000000	1261	74	21
2026-03	WA_ONLY	EXCEL_DETAIL	1	1									0	0	0
2026-03	PLATFORM_ONLY	PLATFORM_FACT	3272	3145									0	0	0
2026-04	MATCHED	EXCEL_DETAIL	5256	5256	259760.5000000000	259760.500000	0.000000	0.000000	157679.0000000000	157679.0000000000	0E-9	0E-9	5256	5256	5256
2026-04	MISSING_DATA	EXCEL_DETAIL	356	356	9128.1763440820	8578.035460	-176.074192	185.229030	5418.0000000000	5306.0000000000	-112.000000000	112.000000000	329	329	292
2026-04	MISSING_MAPPING	EXCEL_DETAIL	1466	1147	59921.5666666670	59825.266668	-96.300002	96.300002	36049.0000000000	36023.0000000000	-26.000000000	26.000000000	1458	1460	1452
2026-04	UNRESOLVED	EXCEL_DETAIL	702	702	43479.0645161290	30180.266667	-13298.797849	13301.202151	21056.0000000000	21027.0000000000	-29.000000000	29.000000000	701	2	1
2026-04	PLATFORM_ONLY	PLATFORM_FACT	15218	8780									0	0	0
2026-05	MATCHED	EXCEL_DETAIL	6505	6305	322504.0000000000	322504.000000	0.000000	0.000000	197555.0000000000	197555.0000000000	0E-9	0E-9	6505	6505	6505
2026-05	MISSING_DATA	EXCEL_DETAIL	29	29	1786.0000000000	112.000000	0.000000	0.000000	893.0000000000	893.0000000000	0E-9	0E-9	29	2	2
2026-05	MISSING_MAPPING	EXCEL_DETAIL	564	564	19986.4860215042	19926.493522	-59.992473	59.992473	11957.0000000000	11917.0000000000	-40.000000000	40.000000000	552	564	551
2026-05	UNRESOLVED	EXCEL_DETAIL	789	789	45524.4666666667	32244.533333	-13279.933334	13320.066666	24436.0000000000	24348.0000000000	-88.000000000	88.000000000	701	89	88
2026-05	PLATFORM_ONLY	PLATFORM_FACT	14697	8633									0	0	0
