reconciliation_billing_month	invoice_batch_label	source_file	observed_start_month	source_match_status	record_side	charge_type	row_count	distinct_imsi_count	excel_total_final_charge	platform_calculated_total	amount_diff_total	amount_abs_diff_total	excel_days_total	platform_days_total	day_diff_total	day_abs_diff_total	day_exact_row_count	price_exact_row_count	amount_exact_row_count
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-02	UNRESOLVED	EXCEL_DETAIL	Credit for Offstocked Card	8	8	-170.4999999997	-301.142856	-130.642855	130.642855	147.0000000000	136.0000000000	-11.000000000	11.000000000	7	8	0
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MATCHED	EXCEL_DETAIL	Full Cycle Charge	4604	4604	233298.0000000000	233298.000000	0.000000	0.000000	142724.0000000000	142724.0000000000	0E-9	0E-9	4604	4604	4604
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MISSING_MAPPING	EXCEL_DETAIL	Full Cycle Charge	285	285	11653.0000000000	11653.000000	0.000000	0.000000	8835.0000000000	5233.0000000000	-3602.000000000	3602.000000000	160	285	285
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	UNRESOLVED	EXCEL_DETAIL	Full Cycle Charge	1275	1275	79050.0000000000	55224.000000	-23826.000000	23826.000000	39525.0000000000	38895.0000000000	-630.000000000	630.000000000	1254	21	21
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-02	MATCHED	EXCEL_DETAIL	Full Cycle Charge - Backbilled for FEB Invoice	265	265	12123.0000000000	12123.000000	0.000000	0.000000	7420.0000000000	7420.0000000000	0E-9	0E-9	265	265	265
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-02	MISSING_MAPPING	EXCEL_DETAIL	Full Cycle Charge - Backbilled for FEB Invoice	4	4	248.0000000000	172.000000	-76.000000	76.000000	112.0000000000	112.0000000000	0E-9	0E-9	4	0	0
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MATCHED	EXCEL_DETAIL	New Activation: Prorated-in Charge	67	67	1338.1520737305	1338.152084	0.000000	0.000000	963.0000000000	963.0000000000	0E-9	0E-9	67	67	67
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MISSING_DATA	EXCEL_DETAIL	New Activation: Prorated-in Charge	479	479	15696.5207373205	15343.306442	-353.214287	353.214287	10126.0000000000	9872.0000000000	-254.000000000	254.000000000	443	479	443
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MISSING_MAPPING	EXCEL_DETAIL	New Activation: Prorated-in Charge	638	638	15497.7142857148	14349.714296	-1148.000000	1148.000000	7916.0000000000	7342.0000000000	-574.000000000	574.000000000	546	638	546
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	UNRESOLVED	EXCEL_DETAIL	New Activation: Prorated-in Charge	45	45	1108.2903225804	624.193560	-484.096760	484.096760	799.0000000000	450.0000000000	-349.000000000	349.000000000	0	45	0
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx		WA_ONLY	EXCEL_DETAIL	Offstocked before cycle start	1	1									0	0	0
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MISSING_MAPPING	EXCEL_DETAIL	Partial Charge - Card Replaced Mid Cycle	496	496	7327.7419354871	7284.700489	-43.041475	60.184331	4886.0000000000	4851.0000000000	-35.000000000	35.000000000	489	496	487
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MISSING_DATA	EXCEL_DETAIL	Prorated Out - Transferred to Wing's Simbank	34	34	2108.0000000000				1054.0000000000	1054.0000000000	0E-9	0E-9	34	0	0
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MISSING_MAPPING	EXCEL_DETAIL	Prorated Out - Transferred to Wing's Simbank	4867	4867	198643.2903225814	194109.539564	-4533.750734	4550.589444	102027.0000000000	99887.0000000000	-2140.000000000	2140.000000000	4318	4770	4126
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MATCHED	EXCEL_DETAIL	Prorated-out Charge - Offstocked Card	14	14	485.0967741935	485.096774	0.000000	0.000000	245.0000000000	245.0000000000	0E-9	0E-9	14	14	14
2026-03				PLATFORM_ONLY	PLATFORM_FACT		3272	3145									0	0	0
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MATCHED	EXCEL_DETAIL	Full Cycle Charge	5254	5254	259696.0000000000	259696.000000	0.000000	0.000000	157634.0000000000	157634.0000000000	0E-9	0E-9	5254	5254	5254
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MISSING_MAPPING	EXCEL_DETAIL	Full Cycle Charge	1070	1070	52071.0000000000	52071.000000	0.000000	0.000000	32100.0000000000	32100.0000000000	0E-9	0E-9	1070	1070	1070
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	UNRESOLVED	EXCEL_DETAIL	Full Cycle Charge	701	701	43443.0000000000	30143.000000	-13300.000000	13300.000000	21030.0000000000	21001.0000000000	-29.000000000	29.000000000	700	1	1
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MATCHED	EXCEL_DETAIL	New Activation: Prorated-in Charge	2	2	64.5000000000	64.500000	0.000000	0.000000	45.0000000000	45.0000000000	0E-9	0E-9	2	2	2
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MISSING_DATA	EXCEL_DETAIL	New Activation: Prorated-in Charge	356	356	9128.1763440820	8578.035460	-176.074192	185.229030	5418.0000000000	5306.0000000000	-112.000000000	112.000000000	329	329	292
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MISSING_MAPPING	EXCEL_DETAIL	New Activation: Prorated-in Charge	347	347	7368.8000000008	7332.733342	-36.066666	36.066666	3669.0000000000	3651.0000000000	-18.000000000	18.000000000	342	347	342
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	UNRESOLVED	EXCEL_DETAIL	New Activation: Prorated-in Charge	1	1	36.0645161290	37.266667	1.202151	1.202151	26.0000000000	26.0000000000	0E-9	0E-9	1	1	0
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	MISSING_MAPPING	EXCEL_DETAIL	Partial Charge - Card Replaced Mid Cycle	49	49	481.7666666662	421.533326	-60.233336	60.233336	280.0000000000	272.0000000000	-8.000000000	8.000000000	46	43	40
2026-04				PLATFORM_ONLY	PLATFORM_FACT		15218	8780									0	0	0
