excel_row_key	platform_fact_key	excel_source_file	official_excel_billing_month	reconciliation_billing_month	imsi	excel_product_id	excel_product_name	charge_type	excel_cycle_start	excel_cycle_end	excel_final_start	excel_final_end	excel_days	excel_price	excel_amount	platform_product_id	platform_product_name	platform_monthly_rent	platform_package_price	platform_time_zone	platform_iccid	platform_cycle_start	platform_cycle_end	platform_cycle_days	platform_calculated_days	platform_calculated_price	platform_calculated_amount	day_diff	price_diff	amount_diff	rule_id	platform_price_state	product_mapping_status	platform_candidate_count	platform_candidate_product_count	platform_candidate_window_count	activation_event_count	offstock_event_count	replacement_event_count	transfer_event_count	difference_reason	source_match_status	numeric_match_status	formal_match_status	platform_amount_evidence_status	platform_calculated_amount_known	record_side
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1016		01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901144065314632		AT&T 125GB Plan ATM RA (WA)	Full Cycle Charge	2026-04-04	2026-05-03	2026-04-04	2026-05-03	30.0000000000	43.0000000000	43.0000000000										30.0000000000	43.0000000000	43.000000	0E-9	0E-9	0.000000	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	2	1	1	0	2	0	0	NO_DIFFERENCE	NUMERIC_MATCH_ONLY	NUMERIC_MATCH	NUMERIC_MATCH_ONLY	KNOWN	43.000000	EXCEL_DETAIL
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#102		01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901144006254209		ATT 100GB Plan DI JL (WA)	Full Cycle Charge	2026-04-16	2026-05-15	2026-04-16	2026-05-15	30.0000000000	43.0000000000	43.0000000000										30.0000000000	43.0000000000	43.000000	0E-9	0E-9	0.000000	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_EXACT_ONLY	2	1	1	0	0	0	0	NO_DIFFERENCE	NUMERIC_MATCH_ONLY	NUMERIC_MATCH	NUMERIC_MATCH_ONLY	KNOWN	43.000000	EXCEL_DETAIL
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1026		01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901144065314911		AT&T 125GB Plan ATM RA (WA)	Full Cycle Charge	2026-04-04	2026-05-03	2026-04-04	2026-05-03	30.0000000000	43.0000000000	43.0000000000										30.0000000000	43.0000000000	43.000000	0E-9	0E-9	0.000000	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	2	1	1	0	2	0	0	NO_DIFFERENCE	NUMERIC_MATCH_ONLY	NUMERIC_MATCH	NUMERIC_MATCH_ONLY	KNOWN	43.000000	EXCEL_DETAIL
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#103		01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901144006255133		ATT 100GB Plan DI JL (WA)	Full Cycle Charge	2026-04-16	2026-05-15	2026-04-16	2026-05-15	30.0000000000	43.0000000000	43.0000000000										30.0000000000	43.0000000000	43.000000	0E-9	0E-9	0.000000	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_EXACT_ONLY	2	1	1	0	0	0	0	NO_DIFFERENCE	NUMERIC_MATCH_ONLY	NUMERIC_MATCH	NUMERIC_MATCH_ONLY	KNOWN	43.000000	EXCEL_DETAIL
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1032		01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901144065315064		AT&T 300GB Plan SP RA (WA)	Full Cycle Charge	2026-04-25	2026-05-24	2026-04-25	2026-05-24	30.0000000000	62.0000000000	62.0000000000										30.0000000000	43.0000000000	43.000000	0E-9	-19.000000000	-19.000000	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	2	1	1	0	0	0	0	PRICE_DIFF	MISSING_MAPPING	NUMERIC_DIFF	MISSING_MAPPING	KNOWN	43.000000	EXCEL_DETAIL
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1033		01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901144065315120		AT&T 125GB Plan ATM RA (WA)	Full Cycle Charge	2026-04-04	2026-05-03	2026-04-04	2026-05-03	30.0000000000	43.0000000000	43.0000000000										30.0000000000	43.0000000000	43.000000	0E-9	0E-9	0.000000	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	2	1	1	0	0	0	0	NO_DIFFERENCE	NUMERIC_MATCH_ONLY	NUMERIC_MATCH	NUMERIC_MATCH_ONLY	KNOWN	43.000000	EXCEL_DETAIL
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1038		01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901144065315365		AT&T 100GB Plan RA (WA)	Full Cycle Charge	2026-04-06	2026-05-05	2026-04-06	2026-05-05	30.0000000000	43.0000000000	43.0000000000										30.0000000000	43.0000000000	43.000000	0E-9	0E-9	0.000000	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_EXACT_ONLY	2	1	1	0	0	0	0	NO_DIFFERENCE	NUMERIC_MATCH_ONLY	NUMERIC_MATCH	NUMERIC_MATCH_ONLY	KNOWN	43.000000	EXCEL_DETAIL
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#104		01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901144006255319		ATT 100GB Plan DI JL (WA)	Full Cycle Charge	2026-04-16	2026-05-15	2026-04-16	2026-05-15	30.0000000000	43.0000000000	43.0000000000										30.0000000000	43.0000000000	43.000000	0E-9	0E-9	0.000000	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_EXACT_ONLY	2	1	1	0	0	0	0	NO_DIFFERENCE	NUMERIC_MATCH_ONLY	NUMERIC_MATCH	NUMERIC_MATCH_ONLY	KNOWN	43.000000	EXCEL_DETAIL
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1050		01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901144065315679		AT&T 300GB Plan SP RA (WA)	Full Cycle Charge	2026-04-25	2026-05-24	2026-04-25	2026-05-24	30.0000000000	62.0000000000	62.0000000000										30.0000000000	43.0000000000	43.000000	0E-9	-19.000000000	-19.000000	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	2	1	1	0	0	0	0	PRICE_DIFF	MISSING_MAPPING	NUMERIC_DIFF	MISSING_MAPPING	KNOWN	43.000000	EXCEL_DETAIL
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx#1065		01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	083901144065316223		AT&T 125GB Plan ATM RA (WA)	Full Cycle Charge	2026-04-04	2026-05-03	2026-04-04	2026-05-03	30.0000000000	43.0000000000	43.0000000000										30.0000000000	43.0000000000	43.000000	0E-9	0E-9	0.000000	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	2	1	1	0	2	0	0	NO_DIFFERENCE	NUMERIC_MATCH_ONLY	NUMERIC_MATCH	NUMERIC_MATCH_ONLY	KNOWN	43.000000	EXCEL_DETAIL
