reconciliation_billing_month	formal_match_status	record_side	row_count	distinct_imsi_count	excel_total_final_charge	platform_calculated_amount_known_total	platform_total	platform_total_status	amount_diff_total	amount_abs_diff_total	numeric_match_row_count	numeric_match_distinct_imsi_count	day_exact_row_count	price_exact_row_count	amount_exact_row_count
2026-03	MISSING_DATA	EXCEL_DETAIL	513	513	17804.5207373205			UNRESOLVED	-353.214287	353.214287	443	443	477	479	443
2026-03	MISSING_MAPPING	EXCEL_DETAIL	7618	7578	313357.5368663640	55547.050704		UNRESOLVED	-30241.531824	30275.513390	5319	5283	6778	6263	5465
2026-03	NUMERIC_MATCH_ONLY	EXCEL_DETAIL	4950	4950	247244.2488479240	247244.248858		UNRESOLVED	0.000000	0.000000	4950	4950	4950	4950	4950
2026-03	WA_ONLY	EXCEL_DETAIL	1	1				UNRESOLVED			0	0	0	0	0
2026-03	PLATFORM_ONLY	PLATFORM_FACT	3272	3145				UNRESOLVED			0	0	0	0	0
2026-04	MISSING_DATA	EXCEL_DETAIL	356	356	9128.1763440820			UNRESOLVED	-176.074192	185.229030	292	292	329	329	292
2026-04	MISSING_MAPPING	EXCEL_DETAIL	2168	1849	103400.6311827960	30180.266667		UNRESOLVED	-13395.097851	13397.502153	1452	1137	2159	1462	1453
2026-04	NUMERIC_MATCH_ONLY	EXCEL_DETAIL	5256	5256	259760.5000000000	259760.500000		UNRESOLVED	0.000000	0.000000	5256	5256	5256	5256	5256
2026-04	PLATFORM_ONLY	PLATFORM_FACT	15218	8780				UNRESOLVED			0	0	0	0	0
2026-05	MISSING_DATA	EXCEL_DETAIL	29	29	1786.0000000000			UNRESOLVED	0.000000	0.000000	2	2	29	2	2
2026-05	MISSING_MAPPING	EXCEL_DETAIL	1353	1353	65510.9526881709	32244.533333		UNRESOLVED	-13339.925807	13380.059139	551	551	1253	653	639
2026-05	NUMERIC_MATCH_ONLY	EXCEL_DETAIL	6505	6305	322504.0000000000	322504.000000		UNRESOLVED	0.000000	0.000000	6505	6305	6505	6505	6505
2026-05	PLATFORM_ONLY	PLATFORM_FACT	14697	8633				UNRESOLVED			0	0	0	0	0
