invoice_batch_label	official_excel_billing_month	source_file	observed_start_month	charge_type	rule_id	row_count	distinct_imsi_count	excel_total_final_charge	platform_calculated_amount_known_total	platform_total	platform_total_status	candidate_amount_diff_total	excel_days_total	platform_days_total	day_diff_total	platform_days_population	platform_price_population	platform_amount_population	proven_mapping_row_count	proven_mapping_distinct_imsi_count	numeric_match_row_count	numeric_match_distinct_imsi_count	formal_matched_row_count	formal_matched_distinct_imsi_count	numeric_match_only_row_count	numeric_match_only_distinct_imsi_count	unresolved_row_count	unresolved_distinct_imsi_count	missing_mapping_row_count	missing_mapping_distinct_imsi_count	missing_data_row_count	missing_data_distinct_imsi_count	wa_only_row_count	wa_only_distinct_imsi_count	day_exact_row_count	price_exact_row_count	amount_exact_row_count
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-02	Credit for Offstocked Card	R_DAILY_CREDIT_OFFSTOCK	8	8	-170.4999999997	-301.142856		UNRESOLVED	-130.642855	147.0000000000	136.0000000000	-11.000000000	8	8	8	8	8	0	0	0	0	0	0	8	8	0	0	0	0	0	0	7	8	0
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	6164	6164	324001.0000000000	234600.000000		UNRESOLVED	-23826.000000	191084.0000000000	186852.0000000000	-4232.000000000	6164	6164	6164	4625	4625	4764	4764	4604	4604	0	0	21	21	1539	1539	0	0	0	0	6018	4910	4910
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-02	Full Cycle Charge - Backbilled for FEB Invoice	R_FULL_CYCLE_BACKBILLED_MONTHLY	269	269	12371.0000000000	12123.000000		UNRESOLVED	-76.000000	7532.0000000000	7532.0000000000	0E-9	269	269	269	265	265	265	265	265	265	0	0	0	0	4	4	0	0	0	0	269	265	265
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	New Activation: Prorated-in Charge	R_DAILY_PRORATED_NEW_ACTIVATION	1229	1229	33640.6774193462	1962.345644		UNRESOLVED	-1985.311047	19804.0000000000	18627.0000000000	-1177.000000000	1229	1229	1229	591	591	1056	1056	67	67	0	0	45	45	638	638	479	479	0	0	1056	1229	1056
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx		Offstocked before cycle start	R_OFFSTOCK_BEFORE_CYCLE_UNRESOLVED	1	1				UNRESOLVED					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	Partial Charge - Card Replaced Mid Cycle	R_DAILY_PRORATED_REPLACEMENT_OLD_CARD	496	496	7327.7419354871			UNRESOLVED	-43.041475	4886.0000000000	4851.0000000000	-35.000000000	496	496	496	494	494	487	487	0	0	0	0	0	0	496	496	0	0	0	0	489	496	487
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	Prorated Out - Transferred to Wing's Simbank	R_DAILY_PRORATED_SIMBANK_TRANSFER	4901	4901	200751.2903225814			UNRESOLVED	-4533.750734	103081.0000000000	100941.0000000000	-2140.000000000	4901	4867	4867	4448	4448	4126	4126	0	0	0	0	0	0	4901	4901	0	0	0	0	4352	4770	4126
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	Prorated-out Charge - Offstocked Card	R_DAILY_PRORATED_OFFSTOCK	14	14	485.0967741935	485.096774	485.096774	COMPLETE	0.000000	245.0000000000	245.0000000000	0E-9	14	14	14	14	14	14	14	14	14	0	0	0	0	0	0	0	0	0	0	14	14	14
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	Full Cycle Charge	R_FULL_CYCLE_MONTHLY	7025	7025	355210.0000000000	259739.000000		UNRESOLVED	-13300.000000	210764.0000000000	210735.0000000000	-29.000000000	7025	7025	7025	5255	5255	6324	6324	5254	5254	0	0	1	1	1770	1770	0	0	0	0	7024	6325	6325
2026-04	2026-04	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	New Activation: Prorated-in Charge	R_DAILY_PRORATED_NEW_ACTIVATION	706	706	16597.5408602118	101.766667		UNRESOLVED	-210.938707	9158.0000000000	9028.0000000000	-130.000000000	706	679	679	332	332	636	636	2	2	0	0	1	1	374	374	329	329	0	0	674	679	636
