reconciliation_billing_month	record_side	formal_match_status	row_count	distinct_imsi_count	side_denominator_row_count	side_denominator_distinct_imsi_count	denominator_scope	excel_total_final_charge	platform_calculated_amount_known_total	platform_total	platform_total_status	amount_diff_total	amount_abs_diff_total
2026-03	EXCEL_DETAIL	MATCHED	4950	4950	13082	12763	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	247244.2488479240	247244.248858	247244.248858	COMPLETE	0.000000	0.000000
2026-03	EXCEL_DETAIL	MISSING_DATA	479	479	13082	12763	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	15696.5207373205	NULL	NULL	UNRESOLVED	-353.214287	353.214287
2026-03	EXCEL_DETAIL	MISSING_MAPPING	7578	7538	13082	12763	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	313225.7465437833	NULL	NULL	UNRESOLVED	-29626.792209	29660.773775
2026-03	EXCEL_DETAIL	UNRESOLVED	74	74	13082	12763	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	2239.7903225807	1625.050704	NULL	UNRESOLVED	-614.739615	614.739615
2026-03	EXCEL_DETAIL	WA_ONLY	1	1	13082	12763	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	NULL	NULL	NULL	UNRESOLVED	NULL	NULL
2026-03	PLATFORM_FACT	PLATFORM_ONLY	3272	3145	3272	3145	SCOPED_PLATFORM_FACT_ROWS_AND_DISTINCT_IMSI	NULL	NULL	NULL	UNRESOLVED	NULL	NULL
2026-04	EXCEL_DETAIL	MATCHED	5256	5256	7780	7317	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	259760.5000000000	259760.500000	259760.500000	COMPLETE	0.000000	0.000000
2026-04	EXCEL_DETAIL	MISSING_DATA	329	329	7780	7317	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	8754.1096774161	NULL	NULL	UNRESOLVED	-176.074192	185.229030
2026-04	EXCEL_DETAIL	MISSING_MAPPING	2193	1874	7780	7317	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	103695.6333333329	NULL	NULL	UNRESOLVED	-13396.300002	13396.300002
2026-04	EXCEL_DETAIL	UNRESOLVED	2	2	7780	7317	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	79.0645161290	80.266667	NULL	UNRESOLVED	1.202151	1.202151
2026-04	PLATFORM_FACT	PLATFORM_ONLY	15218	8780	15218	8780	SCOPED_PLATFORM_FACT_ROWS_AND_DISTINCT_IMSI	NULL	NULL	NULL	UNRESOLVED	NULL	NULL
2026-05	EXCEL_DETAIL	MATCHED	6505	6305	7887	7494	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	322504.0000000000	322504.000000	322504.000000	COMPLETE	0.000000	0.000000
2026-05	EXCEL_DETAIL	MISSING_DATA	2	2	7887	7494	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	112.0000000000	NULL	NULL	UNRESOLVED	0.000000	0.000000
2026-05	EXCEL_DETAIL	MISSING_MAPPING	1291	1291	7887	7494	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	65060.4860215042	NULL	NULL	UNRESOLVED	-13359.992473	13359.992473
2026-05	EXCEL_DETAIL	UNRESOLVED	89	89	7887	7494	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	2124.4666666667	2144.533333	NULL	UNRESOLVED	20.066666	20.066666
2026-05	PLATFORM_FACT	PLATFORM_ONLY	14697	8633	14697	8633	SCOPED_PLATFORM_FACT_ROWS_AND_DISTINCT_IMSI	NULL	NULL	NULL	UNRESOLVED	NULL	NULL
