reconciliation_billing_month	formal_match_status	record_side	row_count	distinct_imsi_count	excel_total_final_charge	platform_calculated_amount_known_total	platform_total	platform_total_status	amount_diff_total	amount_abs_diff_total	proven_mapping_row_count	proven_mapping_distinct_imsi_count	numeric_match_row_count	numeric_match_distinct_imsi_count	day_exact_row_count	price_exact_row_count	amount_exact_row_count
2026-03	MATCHED	EXCEL_DETAIL	4950	4950	247244.2488479240	247244.248858	247244.248858	COMPLETE	0.000000	0.000000	4950	4950	4950	4950	4950	4950	4950
2026-03	MISSING_DATA	EXCEL_DETAIL	479	479	15696.5207373205			UNRESOLVED	-353.214287	353.214287	479	479	443	443	443	479	443
2026-03	MISSING_MAPPING	EXCEL_DETAIL	7578	7538	313225.7465437833			UNRESOLVED	-29626.792209	29660.773775	4942	4942	5319	5283	6805	6189	5444
2026-03	UNRESOLVED	EXCEL_DETAIL	74	74	2239.7903225807	1625.050704		UNRESOLVED	-614.739615	614.739615	74	74	0	0	7	74	21
2026-03	WA_ONLY	EXCEL_DETAIL	1	1				UNRESOLVED			0	0	0	0	0	0	0
2026-03	PLATFORM_ONLY	PLATFORM_FACT	3272	3145				UNRESOLVED			0	0	0	0	0	0	0
2026-04	MATCHED	EXCEL_DETAIL	5256	5256	259760.5000000000	259760.500000	259760.500000	COMPLETE	0.000000	0.000000	5256	5256	5256	5256	5256	5256	5256
2026-04	MISSING_DATA	EXCEL_DETAIL	329	329	8754.1096774161			UNRESOLVED	-176.074192	185.229030	329	329	292	292	302	329	292
2026-04	MISSING_MAPPING	EXCEL_DETAIL	2193	1874	103695.6333333329			UNRESOLVED	-13396.300002	13396.300002	43	43	1452	1137	2185	1460	1452
2026-04	UNRESOLVED	EXCEL_DETAIL	2	2	79.0645161290	80.266667		UNRESOLVED	1.202151	1.202151	2	2	0	0	1	2	1
2026-04	PLATFORM_ONLY	PLATFORM_FACT	15218	8780				UNRESOLVED			0	0	0	0	0	0	0
2026-05	MATCHED	EXCEL_DETAIL	6505	6305	322504.0000000000	322504.000000	322504.000000	COMPLETE	0.000000	0.000000	6505	6305	6505	6305	6505	6505	6505
2026-05	MISSING_DATA	EXCEL_DETAIL	2	2	112.0000000000			UNRESOLVED	0.000000	0.000000	2	2	2	2	2	2	2
2026-05	MISSING_MAPPING	EXCEL_DETAIL	1291	1291	65060.4860215042			UNRESOLVED	-13359.992473	13359.992473	427	427	551	551	1279	564	551
2026-05	UNRESOLVED	EXCEL_DETAIL	89	89	2124.4666666667	2144.533333		UNRESOLVED	20.066666	20.066666	89	89	0	0	1	89	88
2026-05	PLATFORM_ONLY	PLATFORM_FACT	14697	8633				UNRESOLVED			0	0	0	0	0	0	0
