reconciliation_billing_month	invoice_batch_label	source_file	observed_start_month	formal_match_status	numeric_match_status	record_side	charge_type	row_count	distinct_imsi_count	excel_total_final_charge	platform_calculated_amount_known_total	platform_total	platform_total_status	candidate_amount_diff_total	amount_diff_total	amount_abs_diff_total	excel_days_total	platform_days_total	day_diff_total	day_abs_diff_total	platform_days_population	platform_price_population	platform_amount_population	proven_mapping_row_count	proven_mapping_distinct_imsi_count	numeric_match_row_count	numeric_match_distinct_imsi_count	day_exact_row_count	price_exact_row_count	amount_exact_row_count
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-02	UNRESOLVED	NUMERIC_DIFF	EXCEL_DETAIL	Credit for Offstocked Card	8	8	-170.4999999997	-301.142856		UNRESOLVED	-130.642855	-130.642855	130.642855	147.0000000000	136.0000000000	-11.000000000	11.000000000	8	8	8	8	8	0	0	7	8	0
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MATCHED	NUMERIC_MATCH	EXCEL_DETAIL	Full Cycle Charge	4604	4604	233298.0000000000	233298.000000	233298.000000	COMPLETE	0.000000	0.000000	0.000000	142724.0000000000	142724.0000000000	0E-9	0E-9	4604	4604	4604	4604	4604	4604	4604	4604	4604	4604
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MISSING_MAPPING	NUMERIC_DIFF	EXCEL_DETAIL	Full Cycle Charge	1379	1379	81495.0000000000			UNRESOLVED	-23826.000000	-23826.000000	23826.000000	42749.0000000000	39147.0000000000	-3602.000000000	3602.000000000	1379	1379	1379	0	0	0	0	1254	125	125
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MISSING_MAPPING	NUMERIC_MATCH	EXCEL_DETAIL	Full Cycle Charge	160	160	7906.0000000000			UNRESOLVED	0.000000	0.000000	0.000000	4960.0000000000	4960.0000000000	0E-9	0E-9	160	160	160	0	0	160	160	160	160	160
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	UNRESOLVED	NUMERIC_DIFF	EXCEL_DETAIL	Full Cycle Charge	21	21	1302.0000000000	1302.000000		UNRESOLVED	0.000000	0.000000	0.000000	651.0000000000	21.0000000000	-630.000000000	630.000000000	21	21	21	21	21	0	0	0	21	21
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-02	MATCHED	NUMERIC_MATCH	EXCEL_DETAIL	Full Cycle Charge - Backbilled for FEB Invoice	265	265	12123.0000000000	12123.000000	12123.000000	COMPLETE	0.000000	0.000000	0.000000	7420.0000000000	7420.0000000000	0E-9	0E-9	265	265	265	265	265	265	265	265	265	265
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-02	MISSING_MAPPING	NUMERIC_DIFF	EXCEL_DETAIL	Full Cycle Charge - Backbilled for FEB Invoice	4	4	248.0000000000			UNRESOLVED	-76.000000	-76.000000	76.000000	112.0000000000	112.0000000000	0E-9	0E-9	4	4	4	0	0	0	0	4	0	0
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MATCHED	NUMERIC_MATCH	EXCEL_DETAIL	New Activation: Prorated-in Charge	67	67	1338.1520737305	1338.152084	1338.152084	COMPLETE	0.000000	0.000000	0.000000	963.0000000000	963.0000000000	0E-9	0E-9	67	67	67	67	67	67	67	67	67	67
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MISSING_DATA	NUMERIC_DIFF	EXCEL_DETAIL	New Activation: Prorated-in Charge	36	36	847.2684331796			UNRESOLVED	-353.214287	-353.214287	353.214287	609.0000000000	355.0000000000	-254.000000000	254.000000000	36	36	36	36	36	0	0	0	36	0
2026-03	2026-03	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MISSING_DATA	NUMERIC_MATCH	EXCEL_DETAIL	New Activation: Prorated-in Charge	443	443	14849.2523041409			UNRESOLVED	0.000000	0.000000	0.000000	9517.0000000000	9517.0000000000	0E-9	0E-9	443	443	443	443	443	443	443	443	443	443
