bill_month	xl_rows	no_platform	days_exact	excel_total	plat_total	diff
2025-10	12677	0	12584	772750.53	775002.0	2251.47
2025-11	12663	0	11792	773737.84	756841.6	-16896.24
2025-12	12185	0	11368	704839.35	705221.47	382.12
2026-01	12764	0	11658	699499.1	720146.61	20647.51
2026-02	13037	0	11961	706880.42	727195.47	20315.05
2026-03	12804	0	7465	566205.81	683827.03	117621.23
2026-04	7782	0	6974	372237.71	393444.14	21206.43
2026-05	7885	0	7012	389852.55	401711.97	11859.41
2026-06	7598	0	7305	382329.72	386079.36	3749.64
2026-07	7537	0	7394	373918.31	375001.45	1083.14
2026-08	7536	0	7138	364846.61	373919.71	9073.1
