mon	cards	days_match	excel	calc	diff	diff_pct
2025-10	12677	12573	772750.53	774240.0	1489.47	0.19
2025-11	12663	12642	773737.84	773977.17	239.33	0.03
2025-12	12185	11437	704839.35	707759.56	2920.2	0.41
2026-01	12762	11802	703606.29	704984.48	1378.19	0.2
2026-02	12571	11731	690572.72	692924.14	2351.41	0.34
2026-03	13081	7594	578406.31	657702.28	79295.98	13.71
2026-04	7780	7036	372289.31	378257.93	5968.63	1.6
2026-05	7887	7510	389800.95	406706.19	16905.24	4.34
2026-06	7598	7406	382329.72	389995.23	7665.51	2.0
2026-07	7537	7349	373918.31	376804.68	2886.36	0.77
2026-08	7536	7505	364846.61	364693.19	-153.42	-0.04
