charge_type	monthly_rate	final_days	active_days	n	min_chg	max_chg	distinct_chg
Full Cycle Charge	21.0	28.0	28.0	1	21.0	21.0	1
Full Cycle Charge	21.0	30.0	30.0	150	21.0	21.0	1
Full Cycle Charge	21.0	31.0	30.0	148	21.0	21.0	1
Full Cycle Charge	21.0	31.0	28.0	74	21.0	21.0	1
Full Cycle Charge	21.0	31.0	31.0	152	21.0	21.0	1
Full Cycle Charge	21.0	31.0	29.0	1	21.0	21.0	1
Full Cycle Charge	32.0	28.0	28.0	400	32.0	32.0	1
Full Cycle Charge	32.0	30.0	30.0	800	32.0	32.0	1
Full Cycle Charge	32.0	31.0	31.0	1998	32.0	32.0	1
Full Cycle Charge	32.0	31.0	30.0	1	32.0	32.0	1
Full Cycle Charge	43.0	28.0	28.0	2556	43.0	43.0	1
Full Cycle Charge	43.0	29.0	29.0	5	43.0	43.0	1
Full Cycle Charge	43.0	30.0	4.0	1	43.0	43.0	1
Full Cycle Charge	43.0	30.0	30.0	7293	43.0	43.0	1
Full Cycle Charge	43.0	31.0	30.0	93	43.0	43.0	1
Full Cycle Charge	43.0	31.0	29.0	7	43.0	43.0	1
Full Cycle Charge	43.0	31.0	31.0	16646	43.0	43.0	1
Full Cycle Charge	62.0	28.0	25.0	21	62.0	62.0	1
Full Cycle Charge	62.0	28.0	7.0	65	62.0	62.0	1
Full Cycle Charge	62.0	28.0	20.0	29	62.0	62.0	1
Full Cycle Charge	62.0	28.0	28.0	8574	62.0	62.0	1
Full Cycle Charge	62.0	28.0	23.0	42	62.0	62.0	1
Full Cycle Charge	62.0	28.0	2.0	25	62.0	62.0	1
Full Cycle Charge	62.0	29.0	29.0	25	62.0	62.0	1
Full Cycle Charge	62.0	30.0	30.0	18759	62.0	62.0	1
Full Cycle Charge	62.0	31.0	19.0	2	62.0	62.0	1
Full Cycle Charge	62.0	31.0	30.0	61	62.0	62.0	1
Full Cycle Charge	62.0	31.0	31.0	44392	62.0	62.0	1
Partial Charge (Activated AUG)	43	11	11	480	15.2581	15.2581	1
Partial Charge (Activated AUG)	43	18	18	50	24.9677	24.9677	1
Partial Charge (Activated AUG)	62	1	1	129	2.0	2.0	1
