ct	start_month	end_month	n	avg_dim_sd	avg_span_days	avg_final_days	avg_active_days	avg_usage_days	sum_excel	sum_f_sd	sum_span1_sd	sum_f_ed
Credit_Offstocked			37			-6.08	-6.08		-465.0			
Credit_Offstocked	2026-02	2026-03	8	28.0	16.0	18.38	17.0	9.63	-170.5	325.48	301.12	294.0
Full Cycle Charge - Backbilled for FEB Invoice	2026-02	2026-03	269	28.0	27.0	28.0	28.0		12371.0	12371.0	12371.0	11174.06
FullCycleCharge	2025-10	2025-10	2190	31.0	30.0	31.0	31.0		135780.0	135780.0	135780.0	135780.0
FullCycleCharge	2025-10	2025-11	10383	31.0	30.0	31.0	31.0		633676.0	633676.0	633676.0	654829.61
FullCycleCharge	2025-11	2025-11	2375	30.0	29.0	30.0	30.0		147250.0	147250.0	147250.0	147250.0
FullCycleCharge	2025-11	2025-12	10266	30.0	29.0	30.0	30.0		626042.0	626042.0	626042.0	605845.5
FullCycleCharge	2025-12	2025-12	2612	31.0	30.0	31.0	31.0		161944.0	161944.0	161944.0	161944.0
FullCycleCharge	2025-12	2026-01	8825	31.0	30.0	31.0	31.0		527485.0	527485.0	527485.0	527485.0
FullCycleCharge	2026-01	2026-01	3015	31.0	30.0	31.0	30.99		172325.0	172325.0	172277.0	172325.0
FullCycleCharge	2026-01	2026-02	8685	31.0	30.0	31.0	30.96		501759.0	501759.0	501369.1	555504.12
FullCycleCharge	2026-02	2026-02	2619	28.0	26.0	28.0	27.04		153768.0	153768.0	148188.28	153768.0
FullCycleCharge	2026-02	2026-03	9129	28.0	27.0	28.0	28.0		513908.0	513993.1	513993.1	464253.35
FullCycleCharge	2026-03	2026-03	1064	31.0	30.0	31.0	31.0		61044.0	61044.0	61044.0	61044.0
FullCycleCharge	2026-03	2026-04	5100	31.0	30.0	31.0	31.0		262957.0	262957.0	262957.0	271725.58
FullCycleCharge	2026-04	2026-04	1039	30.0	29.0	30.0	30.0		51894.0	51894.0	51894.0	51894.0
FullCycleCharge	2026-04	2026-05	5986	30.0	29.0	30.0	30.0		303316.0	303336.02	303336.02	293543.72
FullCycleCharge	2026-05	2026-05	1066	31.0	30.0	31.0	31.0		53568.0	53568.0	53568.0	53568.0
FullCycleCharge	2026-05	2026-06	6185	31.0	30.0	31.0	30.99		317687.0	317687.0	317617.22	328279.13
FullCycleCharge	2026-06	2026-06	1157	30.0	29.0	30.0	29.98		59381.0	59381.0	59343.73	59381.0
FullCycleCharge	2026-06	2026-07	6189	30.0	29.0	30.0	30.0		317859.0	317859.0	317859.0	307598.43
FullCycleCharge	2026-07	2026-07	1161	31.0	30.0	31.0	31.0		54043.0	54043.0	54043.0	54043.0
FullCycleCharge	2026-07	2026-08	6138	31.0	30.0	31.0	31.0		311676.0	311676.0	311676.0	311676.0
FullCycleCharge	2026-08	2026-08	1161	31.0	30.0	31.0	31.0		54043.0	54043.0	54043.0	54043.0
FullCycleCharge	2026-08	2026-09	5976	31.0	30.0	31.0	30.99		299542.0	299542.0	299477.78	309526.78
FullRate	2025-09	2025-09	2113	30.0	29.0	30.0	30.0		131006.0	131006.0	130985.33	131006.0
FullRate	2025-09	2025-10	10489	30.0	29.2	30.0	30.0		640248.0	640248.0	644990.31	619593.3
NewActivation_ProratedIn	2025-10	2025-10	23	31.0	1.2	2.3	2.17		106.53	106.0	100.0	106.0
NewActivation_ProratedIn	2025-10	2025-11	49	31.0	22.0	23.04	22.96		2258.0	2258.0	2250.0	2333.11
NewActivation_ProratedIn	2025-11	2025-11	22	30.0	5.8	14.41	6.82	13.32	445.84	460.67	221.26	460.67
NewActivation_ProratedIn	2025-12	2025-12	301	31.0	7.8	8.82	8.81	3.17	3700.45	3681.1	3676.93	3681.1
NewActivation_ProratedIn	2025-12	2026-01	447	31.0	16.2	17.15	17.15	3.54	11709.9	11709.49	11709.49	11709.49
NewActivation_ProratedIn	2026-01	2026-01	265	31.0	7.2	10.86	8.25	7.21	3702.03	3701.95	2660.44	3701.95
NewActivation_ProratedIn	2026-01	2026-02	546	31.0	17.1	20.55	18.15	8.96	17321.81	17322.61	15451.71	19176.93
NewActivation_ProratedIn	2026-02	2026-02	263	28.0	9.9	15.54	10.93	13.38	8106.58	8975.25	6355.09	8975.25
NewActivation_ProratedIn	2026-02	2026-03	466	28.0	13.6	17.5	14.59	9.11	14635.14	14635.57	12463.04	13219.15
NewActivation_ProratedIn	2026-03	2026-03	72	31.0	12.1	13.22	13.14	2.57	1462.0	1320.46	1312.12	1320.46
NewActivation_ProratedIn	2026-03	2026-04	1157	31.0	14.3	16.29	15.28	6.53	32178.68	32178.24	30202.07	33249.65
NewActivation_ProratedIn	2026-04	2026-04	490	30.0	9.6	10.77	10.6	3.75	9937.84	10257.7	10105.36	10257.7
NewActivation_ProratedIn	2026-04	2026-05	216	30.0	16.7	17.97	17.75	4.31	6659.7	6659.54	6588.85	6444.87
NewActivation_ProratedIn	2026-05	2026-05	200	31.0	9.5	10.5	10.5	1.44	4340.0	4200.0	4200.0	4200.0
NewActivation_ProratedIn	2026-08	2026-08	28	31.0	26.0	27.54	27.0	20.0	1069.45	1069.43	1048.6	1069.43
Offstocked before cycle start			710									
Offstocked before cycle start	2026-02	2026-03	90	28.0	27.0		28.0				5580.0	
Partial Charge - Card Replaced Mid Cycle	2026-02	2026-02	4	28.0	16.5	17.5	17.5	4.75	155.0	155.0	155.0	155.0
Partial Charge - Card Replaced Mid Cycle	2026-03	2026-03	496	31.0	8.8	9.85	9.78	1.48	7327.74	7327.57	7275.94	7327.57
Partial Charge - Card Replaced Mid Cycle	2026-04	2026-04	49	30.0	4.6	5.71	5.55	1.73	481.77	481.72	468.98	481.72
Partial Charge - Card Replaced Mid Cycle	2026-05	2026-05	30	31.0	15.0	16.0	16.0	1.5	665.81	665.7	665.7	665.7
Partial Charge - Card Replaced Mid Cycle	2026-06	2026-06	78	30.0	14.1	16.18	15.09	10.54	1808.87	1808.84	1687.0	1808.84
Partial Charge - Card Replaced Mid Cycle	2026-07	2026-07	41	31.0	13.8	16.17	14.78	9.61	919.65	919.68	840.63	919.68
Partial Charge - Card Replaced Mid Cycle	2026-08	2026-08	318	31.0	12.8	14.08	13.83	6.22	8578.61	8578.67	8452.06	8578.67
PartialCharge_Activated_AUG	2025-09	2025-09	11484	30.0	14.0	14.94	14.94		339332.26	350646.3	351038.65	350646.3
PartialCharge_ProductTransfer	2026-01	2026-01	191	31.0	14.3	16.26	15.27	9.22	6191.61	6191.61	5815.61	6191.61
PartialCharge_ProductTransfer	2026-02	2026-02	188	28.0	14.8	15.75	15.75		4107.19	4547.39	4547.39	4547.39
PartialCharge_ReplacementMidCycle	2026-05	2026-05	297	31.0	16.6	17.67	17.63	7.68	10493.33	10337.76	10321.29	10337.76
PartialCharge_ReplacementMidCycle	2026-05	2026-06	105	31.0	19.2	20.5	20.23	6.51	2986.42	2986.48	2946.26	3085.89
PartialCharge_ReplacementMidCycle	2026-06	2026-06	130	30.0	6.9	9.49	7.9	5.57	1712.79	1768.74	1472.07	1768.74
PartialCharge_ReplacementMidCycle	2026-06	2026-07	44	30.0	23.9	24.86	24.86	4.66	1568.07	1568.11	1568.11	1517.46
PartialCharge_ReplacementMidCycle	2026-07	2026-07	65	31.0	18.9	20.83	19.86	12.69	1940.73	1878.18	1790.8	1878.18
PartialCharge_ReplacementMidCycle	2026-07	2026-08	132	31.0	27.8	29.16	28.85	20.73	5338.94	5339.36	5282.61	5339.36
PartialCharge_ReplacementMidCycle	2026-08	2026-09	53	31.0	20.7	21.7	21.7	1.47	1613.55	1613.55	1613.55	1667.31
Prorated Out - Transferred to Wing's Simbank	2026-03	2026-03	4901	31.0	19.7	21.03	20.67	10.98	200751.29	200751.08	197523.43	200751.08
Prorated-in Charge (Activated SEPT)	2025-09	2025-09	810	30.0	9.8	11.66	10.78	7.42	19521.73	19523.28	18041.9	19523.28
Prorated-in Charge (Activated SEPT)	2025-09	2025-10	275	30.0	13.0	14.0	14.0		7956.67	7955.75	7955.75	7700.0
Prorated-out Charge (Activated OCT)	2025-10	2025-10	32	31.0	13.5	14.53	14.53		930.0	930.0	930.0	930.0
Prorated-out Charge (Activated SEPT)	2025-09	2025-09	66	30.0	8.7	9.74	9.74		1328.87	1328.98	1328.98	1328.98
Prorated-out Charge - Offstocked Card	2026-03	2026-03	14	31.0	16.5	17.5	17.5	7.93	485.1	485.1	485.1	485.1
ProratedOut_Credit_OffstockRepl	2026-01	2026-01	60	31.0	14.5	15.5	15.5		-1860.0	1860.0	1860.0	1860.0
