bill_month	xl_rows	days_exact	price_eq	excel_total	plat_total	diff
2025-10	12677	12442	11552	772750.53	746511.71	-26238.82
2025-11	12663	11791	11317	773737.84	723559.43	-50178.4
2025-12	12185	11355	10663	704839.35	686011.47	-18827.88
2026-01	12764	11654	11364	699499.1	701050.61	1551.51
2026-02	13037	11962	11255	706880.42	708515.89	1635.47
2026-03	12804	7825	11424	566205.81	647196.98	80991.17
2026-04	7782	6995	6959	372237.71	381721.0	9483.3
2026-05	7885	7012	7185	389852.55	388287.13	-1565.43
2026-06	7598	7308	6896	382329.72	372576.53	-9753.19
2026-07	7537	7406	7189	373918.31	370959.55	-2958.77
2026-08	7536	7139	7261	364846.61	368546.71	3700.1
