invoice_month	fsd_month	n	sum_chg
APR2026	2026-04	7780	372289.31
AUG2026	2026-08	7536	364846.61
DEC2025	2025-12	12185	704839.35
FEB2026		1	
FEB2026	2026-02	12571	690572.72
JAN2026		708	
JAN2026	2026-01	12764	699499.1
JAN2026	2026-02	189	4107.19
JUL2026	2026-07	7537	373918.31
JUN2026	2026-06	7598	382329.72
MAR2026		1	
MAR2026	2026-02	277	12200.5
MAR2026	2026-03	12804	566205.81
MAY2026	2026-04	2	-51.6
MAY2026	2026-05	7885	389852.55
NOV2025	2025-11	12663	773737.84
OCT2025		37	-465.0
OCT2025	2025-10	12677	772750.53
SEP2025	2025-09	25237	1139393.52
