mon	xl_type	cards	days_mismatch	excel	calc	diff
2026-03	Prorated Out - Transferred to Wing's Simbank	4901	3562	200751.29	296262.0	95510.71
2026-05	Partial Charge - New Card Used as Replacement Mid Cycle	402	273	13479.75	27375.39	13895.64
2026-06	Partial Charge - New Card Used as Replacement Mid Cycle	174	174	3280.85	11072.5	7791.65
2026-04	New Activation: Prorated-in Charge	706	705	16597.54	22617.1	6019.56
2026-01	Prorated-Out Credit (Offstocked for Replacement)	60	60	-1860.0	3720.0	5580.0
2026-07	Partial Charge - New Card Used as Replacement Mid Cycle	197	167	7279.67	10263.13	2983.46
2025-12	New Activation: Prorated-in Charge	748	748	15410.35	18330.56	2920.2
2026-05	New Activation: Prorated-in Charge	200	100	4340.0	7200.0	2860.0
2026-01	Partial Charge - Product Transfer Mid Cycle	191	188	10358.45	11804.0	1445.55
2025-10	Prorated-out Charge (Activated OCT)	32	32	930.0	1984.0	1054.0
2026-03	Credit for Offstocked Card	8	8	-170.5	496.0	666.5
2026-03	Partial Charge - Card Replaced Mid Cycle	496	405	7327.74	6644.52	-683.22
2026-02	New Activation: Prorated-in Charge	729	711	22741.72	19521.99	-3219.73
2026-01	New Activation: Prorated-in Charge	811	712	21023.84	15376.48	-5647.36
2026-03	New Activation: Prorated-in Charge	1229	1229	33640.68	17078.77	-16561.91
