mon	plat_cards	in_xl	plat_only	plat_total	xl_total	diff	diff_pct
2025-10	9149	8754	395	529719.29	532346.0	-2626.71	-0.49
2025-11	9702	8644	1058	495238.62	525923.84	-30685.22	-5.83
2025-12	9251	7998	1253	477489.78	451843.35	25646.43	5.68
2026-01	8863	7939	924	423678.97	422335.29	1343.68	0.32
2026-02	8531	7671	860	401208.47	407350.37	-6141.9	-1.51
2026-03	9015	7981	1034	360651.51	366725.49	-6073.98	-1.66
2026-04	9453	7317	2136	396712.7	372289.31	24423.39	6.56
2026-05	7972	7494	478	372190.03	389800.95	-17610.92	-4.52
2026-06	7653	7469	184	372448.79	382329.72	-9880.93	-2.58
2026-07	7664	7472	192	370985.91	373918.31	-2932.41	-0.78
2026-08	7810	7508	302	359056.03	364846.61	-5790.58	-1.59
