product_name	excel_rate	excel_rows	files	platform_matches
600111002|TMO 500GB DI BU MW (WA)	62.0	574	1	[]
600111005|ATT 300GB Plan AX HS (WA)	62.0	2	1	[]
600111069|AT&T 300GB Plan HX RT 5G (WA)	62.0	2	1	[]
600111072|ATT 300GB Plan DI MZ 5G (WA)	62.0	2	1	[]
600111073|ATT 300GB Plan DF 5G(WA)	62.0	2	1	[]
600111074|TMO Unlimited TT 5G (WA)	62.0	2	1	[]
600111075|TMO 500GB DI BU MW 5G (WA)	62.0	2	1	[]
600111077|TMO 300GB Plan AT (1) (A) 5G (WA)	62.0	1	1	[]
600111078|TMO 500GB VS BU 5G (WA)	62.0	1	1	[]
600111087|AT&T 300GB Plan ATM RT (WA)	62.0	275	1	[]
60011376|TMO 110GB Plan HY (WA)	43.0	100	1	[]
60011378| AT&T 300GB Plan HX (WA)	62.0	40	1	[]
60011429|AT&T 300GB Plan HX HS (WA)	62.0	2	1	[]
60011436|ATT 300GB Plan AT PP (WA)	62.0	400	1	[]
60011437|ATT 300GB Plan VS PP (WA)	62.0	84	1	[]
60011444|ATT 300GB Plan DI JL (WA)	62.0	11	1	[]
60011449|ATT 300GB Plan PVP (WA)	62.0	847	1	[]
60011494|ATT 300GB Plan DI CD (WA)	62.0	62	1	[]
60011500|ATT 300GB Plan DI MM (WA)	62.0	56	1	[]
60011515|ATT 300GB Plan XY PP (WA)	62.0	1407	1	[]
60011516|ATT 300GB Plan DI VS (WA)	62.0	82	1	[]
60011521|TMO 300GB Plan AT (5) (WA)	62.0	200	1	[]
60011543|TMO Unlimited Plan SC (WA)	62.0	6	1	[]
60011612|ATT 300GB Plan SP (WA)	62.0	638	1	[]
60011672|AT&T 300GB Plan HX RT (WA)	62.0	4549	1	[]
60011687|ATT 300GB Plan SP 200 (1) (WA)	62.0	510	1	[]
60011690|ATT 300GB Plan AT TB Tï¿½ï¿½ï¿½WAï¿½ï¿½ï¿½	62.0	90	1	[]
60011691|ATT Unlimited Plan SC(WA)	62.0	32	1	[]
60011777||ATT 300GB Plan DI HY HC (WA)	62.0	80	1	[]
60011783|ATT 300GB Plan DF ET (43) (WA)	62.0	578	1	[]
60011785|ATT 300GB Plan DC (WA)	62.0	648	1	[]
60011797|USC 300GB Plan DC SC (WA)	62.0	10	1	[]
60011815|TMO Unlimited TT (WA)	62.0	788	1	[]
60011817|TMO 500GB VS BU (WA)	62.0	69	1	[]
60011828|ATT 300GB Plan AX (WA)	62.0	1820	1	[]
60011838|ATT 300GB Plan DF ET (WA)	62.0	506	1	[]
60011839|ATT 300GB Plan VS ET (WA)	62.0	449	1	[]
60011843|USC Plus 300GB Plan DC (WA)	62.0	1310	1	[]
60011856|ATT 300GB Plan JM (WA)	62.0	95	1	[]
60011858|ATT 300GB Plan VS ET  (43) (WA)	62.0	546	1	[]
60011859|ATT 300GB Plan PVP 3 (WA)	62.0	98	1	[]
60011860|ATT 300GB Plan DI SG (WA)	62.0	282	1	[]
60011875|TMO 300GB Plan MC (WA)	62.0	278	1	[]
60011878|TMO 100GB Plan AT (3) (WA)	43.0	480	1	[]
60011882|TMO 300GB Plan AT (1) (A) (WA)	62.0	602	1	[]
60011883|TMO 300GB Plan AT (2) (WA)	62.0	660	1	[]
60011884|TMO 300GB Plan AT (3) (WA)	62.0	888	1	[]
60011886|TMO 300GB Plan AT (4) (WA)	62.0	80	1	[]
60011887|TMO 300GB Plan AT (1) (B) (WA)	62.0	400	1	[]
60011888|TMO 300GB Plan AT (1) (C) (WA)	62.0	134	1	[]
60011889|TMO 300GB Plan AT (1) (D) (WA)	62.0	537	1	[]
60011890|TMO 500GB Plan DI BU SG (WA)	62.0	404	1	[]
60011891|TMO 500GB DI BU MG (WA)	62.0	228	1	[]
60011892|TMO 300GB Plan DF MTR (WA)	62.0	26	1	[]
60011893|TMO 100GB Plan AT (3) (2) (WA)	43.0	480	1	[]
60011921|ATT 300GB Plan DI MZ (WA)	62.0	306	1	[]
60011922|ATT 300GB Plan DF (2) (WA)	62.0	177	1	[]
60011981|ATT 300GB Plan DF (WA)	62.0	659	1	[]
60011986|ATT 300GB Plan DC (2) (WA)	62.0	228	1	[]
60011989|ATT 300GB Plan AX (2) (WA)	62.0	10	1	[]
60011990|ATT 300GB Plan AX (3) (WA)	62.0	946	1	[]
60011992|ATT 300GB Plan DI PV (WA)	62.0	278	1	[]
60011993|ATT 300GB Plan DI 1A (WA)	62.0	178	1	[]
AT&T 100GB Plan RA (WA)	43.0	1090	7	["AT&T 100GB Plan RA (WA)=43.0"]
AT&T 125GB Plan ATM RA (WA)	43.0	1592	4	[]
AT&T 125GB Plan SP RA (WA)	43.0	189	1	[]
AT&T 150GB Plan ATM RA (WA)	43.0	1884	4	["AT&T 150GB Plan ATM RA (WA)=43.0"]
AT&T 150GB Plan SP RA (WA)	43.0	420	2	["AT&T 150GB Plan SP RA (WA)=43.0"]
AT&T 300GB Plan AIR (WA)	62.0	69	1	[]
AT&T 300GB Plan ATM RA (WA)	62.0	2918	6	["AT&T 300GB Plan ATM RA (WA)=62.0"]
AT&T 300GB Plan ATM RT (WA)	62.0	3025	11	[]
AT&T 300GB Plan Air Test (WA)	62.0	3	1	["AT&T 300GB Plan Air Test (WA)=62.0"]
AT&T 300GB Plan DC RA (WA)	62.0	3	1	["AT&T 300GB Plan DC RA (WA)=62.0"]
AT&T 300GB Plan HX (WA)	62.0	974	5	[]
AT&T 300GB Plan HX HS (WA)	62.0	2	2	["AT&T 300GB Plan HX HS (WA)=62.0"]
AT&T 300GB Plan HX RT (333) (WA)	62.0	999	3	[]
AT&T 300GB Plan HX RT (WA)	62.0	7052	5	["AT&T 300GB Plan HX RT (WA)=62.0"]
AT&T 300GB Plan HX RT 5G (WA)	62.0	4	4	[]
AT&T 300GB Plan HX RT 5G2 (WA)	62.0	5	4	["AT&T 300GB Plan HX RT 5G2 (WA)=62.0"]
AT&T 300GB Plan RA (WA)	62.0	213	3	[]
AT&T 300GB Plan SP RA (WA)	62.0	1071	5	[]
ATT 100GB Plan AT TB T (WA)	43.0	251	5	["ATT 100GB Plan AT TB T (WA)=43.0"]
ATT 100GB Plan AT TB Tï¼WAï¼	43.0	150	3	[]
ATT 100GB Plan DF ET (43) (WA)	43.0	451	3	["ATT 100GB Plan DF ET (43) (WA)=43.0"]
ATT 100GB Plan DF ET (WA)	43.0	140	1	[]
ATT 100GB Plan DI CD (WA)	43.0	576	9	["ATT 100GB Plan DI CD (WA)=43.0"]
ATT 100GB Plan DI JL (WA)	43.0	432	9	["ATT 100GB Plan DI JL (WA)=43.0"]
ATT 100GB Plan DI LW (WA)	43.0	84	1	[]
ATT 100GB Plan DI MM (WA)	43.0	397	8	["ATT 100GB Plan DI MM (WA)=43.0"]
ATT 100GB Plan DI MZ (WA)	43.0	27	9	["ATT 100GB Plan DI MZ (WA)=43.0"]
ATT 100GB Plan DI SL (WA)	43.0	126	4	[]
ATT 100GB Plan EC (WA)	43.0	1936	9	["ATT 100GB Plan EC (WA)=43.0"]
ATT 100GB Plan PVP (33) (WA)	43.0	1188	6	["ATT 100GB Plan PVP (33) (WA)=43.0"]
ATT 100GB Plan PVP (36) (WA)	43.0	42	3	["ATT 100GB Plan PVP (36) (WA)=43.0"]
ATT 100GB Plan PVP (WA)	43.0	39	1	[]
ATT 100GB Plan VS (45) (WA)	43.0	126	2	[]
ATT 100GB Plan VS ET (39) (WA)	43.0	2109	7	["ATT 100GB Plan VS ET (39) (WA)=43.0"]
ATT 100GB Plan VS ET (43) (WA)	43.0	210	2	["ATT 100GB Plan VS ET (43) (WA)=43.0"]
ATT 100GB Plan VS ET (45) (WA)	43.0	307	2	[]
ATT 100GB Plan VS ET (WA)	43.0	1139	8	["ATT 100GB Plan VS ET (WA)=43.0"]
ATT 125GB Plan DF ET (43) (WA)	43.0	228	2	["ATT 125GB Plan DF ET (43) (WA)=43.0"]
ATT 125GB Plan DF ET (45) (WA)	43.0	150	1	[]
ATT 125GB Plan DF ET (WA)	43.0	3016	6	["ATT 125GB Plan DF ET (WA)=43.0"]
ATT 125GB Plan EC (WA)	43.0	488	8	["ATT 125GB Plan EC (WA)=43.0"]
ATT 125GB Plan ZN ET (WA)	43.0	1138	6	["ATT 125GB Plan ZN ET (WA)=43.0"]
ATT 300GB Plan AT PP (WA)	62.0	2200	11	["ATT 300GB Plan AT PP (WA)=62.0"]
ATT 300GB Plan AT TB Tï¼WAï¼	62.0	147	3	[]
ATT 300GB Plan ATM RA 5G2 (WA)	62.0	30	3	["ATT 300GB Plan ATM RA 5G2 (WA)=62.0"]
ATT 300GB Plan AX (2) (WA)	62.0	10	2	["ATT 300GB Plan AX (2) (WA)=62.0"]
ATT 300GB Plan AX (WA)	62.0	1238	2	["ATT 300GB Plan AX (WA)=62.0"]
ATT 300GB Plan AX HS (WA)	62.0	2	2	["ATT 300GB Plan AX HS (WA)=62.0"]
ATT 300GB Plan DC (2) (WA)	62.0	684	6	["ATT 300GB Plan DC (2) (WA)=62.0"]
ATT 300GB Plan DC (WA)	62.0	2237	6	[]
ATT 300GB Plan DC RA(WA)	62.0	10	1	[]
ATT 300GB Plan DF (2) (WA)	62.0	585	6	[]
ATT 300GB Plan DF (WA)	62.0	1741	6	[]
ATT 300GB Plan DF BU (2) (WA)	62.0	183	4	[]
ATT 300GB Plan DF BU (3) (WA)	62.0	69	3	[]
ATT 300GB Plan DF BU (4) (WA)	62.0	239	8	["ATT 300GB Plan DF BU (4) (WA)=62.0"]
ATT 300GB Plan DF BU (5) (WA)	62.0	79	8	["ATT 300GB Plan DF BU (5) (WA)=62.0"]
ATT 300GB Plan DF BU (6) (WA)	62.0	31	5	["ATT 300GB Plan DF BU (6) (WA)=62.0"]
ATT 300GB Plan DF BU (WA)	62.0	167	5	[]
ATT 300GB Plan DF ET (43) (WA)	62.0	1579	5	[]
ATT 300GB Plan DF ET (WA)	62.0	920	5	["ATT 300GB Plan DF ET (WA)=62.0"]
ATT 300GB Plan DI 1A (WA)	62.0	534	6	[]
ATT 300GB Plan DI CA (WA)	62.0	159	5	["ATT 300GB Plan DI CA (WA)=62.0"]
ATT 300GB Plan DI CD (WA)	62.0	372	6	[]
ATT 300GB Plan DI FS (WA)	62.0	348	4	[]
ATT 300GB Plan DI HY HC (WA)	62.0	244	6	[]
ATT 300GB Plan DI JL (WA)	62.0	354	6	[]
ATT 300GB Plan DI MM (WA)	62.0	336	5	[]
ATT 300GB Plan DI MZ (WA)	62.0	922	6	[]
ATT 300GB Plan DI MZ 5G (WA)	62.0	1	1	[]
ATT 300GB Plan DI MZ 5G2 (WA)	62.0	1	1	[]
ATT 300GB Plan DI PV (WA)	62.0	824	6	[]
ATT 300GB Plan DI PV 5G (WA)	62.0	7	7	["ATT 300GB Plan DI PV 5G (WA)=62.0"]
ATT 300GB Plan DI PV 5G2 (WA)	62.0	7	7	["ATT 300GB Plan DI PV 5G2 (WA)=62.0"]
ATT 300GB Plan DI RC (WA)	62.0	284	4	[]
ATT 300GB Plan DI SG (WA)	62.0	853	6	[]
ATT 300GB Plan DI SL (WA)	62.0	199	5	["ATT 300GB Plan DI SL (WA)=62.0"]
ATT 300GB Plan DI VS (WA)	62.0	492	6	[]
ATT 300GB Plan EC (WA)	62.0	105	5	[]
ATT 300GB Plan EC PV (WA)	62.0	96	4	[]
ATT 300GB Plan PVP (WA)	62.0	1046	4	["ATT 300GB Plan PVP (WA)=62.0"]
ATT 300GB Plan PVP 3 (WA)	62.0	42	3	["ATT 300GB Plan PVP 3 (WA)=62.0"]
ATT 300GB Plan SP (WA)	62.0	1914	6	[]
ATT 300GB Plan SP 200 (1) (WA)	62.0	1	1	["ATT 300GB Plan SP 200 (1) (WA)=62.0"]
ATT 300GB Plan VS ET (43) (WA)	62.0	1009	6	[]
ATT 300GB Plan VS ET (WA)	62.0	639	5	["ATT 300GB Plan VS ET (WA)=62.0"]
ATT 300GB Plan VS PP (WA)	62.0	328	6	[]
ATT 300GB Plan XY PP (WA)	62.0	6295	11	["ATT 300GB Plan XY PP (WA)=62.0"]
ATT 300GB Plan ZN ET (WA)	62.0	209	2	[]
ATT 50GB Plan AT (WA)	32.0	462	1	[]
ATT 50GB Plan DI MM (WA) (For SDP)	32.0	1	1	["ATT 50GB Plan DI MM (WA) (For SDP)=32.0"]
ATT 60GB Plan AT SDP	32.0	1202	4	[]
ATT 60GB Plan AT SDP (WA)	32.0	1600	4	["ATT 60GB Plan AT SDP (WA)=32.0"]
ATT Unlimited Plan DI MZ (WA)	43.0	770	5	["ATT Unlimited Plan DI MZ (WA)=43.0"]
ATT Unlimited Plan SC(WA)	62.0	16	1	["ATT Unlimited Plan SC(WA)=62.0"]
