bill_month	charge_type	cards	excel_total	avg_charge	avg_days	avg_rate
2026-01	Partial Charge - Product Transfer Mid Cycle	191	6251.26	32.39	16.3	61.49
2026-01	Prorated-Out Credit (Offstocked for Replacement)	60	-1860.0	-31.0	15.5	62.0
2026-02	Partial Charge - Product Transfer Mid Cycle	189	4107.19	21.73	15.7	43.0
2026-03	Partial Charge - Card Replaced Mid Cycle	496	7327.74	14.77	9.9	47.79
2026-04	Partial Charge - Card Replaced Mid Cycle	49	481.77	9.83	5.7	55.02
2026-05	Partial Charge - Card Replaced Mid Cycle	30	665.81	22.19	16.0	43.0
2026-05	Partial Charge - New Card Used as Replacement Mid Cycle	402	13479.75	33.53	18.4	54.63
2026-06	Partial Charge - Card Replaced Mid Cycle	78	1808.87	23.19	16.2	43.0
2026-06	Partial Charge - New Card Used as Replacement Mid Cycle	174	3280.85	18.86	13.4	43.0
2026-07	Partial Charge - Card Replaced Mid Cycle	41	919.65	22.43	16.2	43.0
2026-07	Partial Charge - New Card Used as Replacement Mid Cycle	197	7279.67	36.95	26.4	43.0
2026-08	Partial Charge - Card Replaced Mid Cycle	318	8578.61	26.98	14.1	59.25
2026-08	Partial Charge - New Card Used as Replacement Mid Cycle	53	1613.55	30.44	21.7	44.08
